;total;procura pela polícia em decorrência da última agressão física;procura pela polícia em decorrência da última agressão física.1
               brasil;0.0;1.77;1.41
urbana;0.0;1.87;1.47
rural;0.0;5.36;4.66
norte;0.0;4.26;3.38
rondônia;0.0;7.63;11.09
acre;0.0;14.58;13.23
amazonas;0.0;12.95;8.09
roraima;0.0;21.72;12.31
pará;0.0;6.75;5.08
amapá;0.0;10.52;11.64
tocantins;0.0;13.74;8.33
nordeste;0.0;3.64;2.08
maranhão;0.0;13.98;6.6
piauí;0.0;18.02;6.01
ceará;0.0;7.21;4.37
rio grande do norte;0.0;10.5;7.6
paraíba;0.0;18.51;9.41
pernambuco;0.0;7.8;4.58
alagoas;0.0;16.22;12.48
sergipe;0.0;10.92;7.65
bahia;0.0;6.14;3.71
sudeste;0.0;2.94;2.73
minas gerais;0.0;4.52;5.24
espírito santo;0.0;8.04;7.36
rio de janeiro;0.0;8.35;5.19
são paulo;0.0;4.48;4.12
sul;0.0;3.64;3.64
paraná;0.0;6.42;5.03
santa catarina;0.0;7.32;9.81
rio grande do sul;0.0;5.34;5.95
centro-oeste;0.0;4.44;4.22
mato grosso do sul;0.0;7.94;9.8
mato grosso;0.0;10.06;10.46
goiás;0.0;7.42;5.33
