;total;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
brasil (1);100;6.89;18.16;12.93;33.05;28.96
sem instrução;100;7.78;13.84;11.83;40.6;25.94
fundamental incompleto ou equivalente;100;5.28;19.14;10.35;34.12;31.11
fundamental completo ou equivalente;100;8.24;19.59;14.69;34.51;22.97
médio incompleto ou equivalente;100;7.13;18.9;13.09;31.43;29.44
médio completo ou equivalente;100;8.8;16.47;18.31;29.66;26.76
superior incompleto ou equivalente;100;12.37;13.09;23.0;23.78;27.77
superior completo ou equivalente;100;8.66;22.06;13.46;23.71;32.1
norte (1);100;8.11;18.16;17.22;32.37;24.13
sem instrução;100;2.22;12.3;8.06;42.79;34.62
fundamental incompleto ou equivalente;100;8.44;21.21;14.09;30.15;26.11
fundamental completo ou equivalente;100;0.0;14.08;25.72;36.61;23.58
médio incompleto ou equivalente;100;4.26;16.78;27.85;38.04;13.07
médio completo ou equivalente;100;11.17;17.5;20.61;31.29;19.42
superior incompleto ou equivalente;100;19.38;5.61;32.98;30.83;11.19
superior completo ou equivalente;100;39.18;14.05;11.74;23.36;11.68
nordeste (1);100;6.3;17.0;12.86;36.46;27.38
sem instrução;100;8.42;16.55;12.74;42.56;19.73
fundamental incompleto ou equivalente;100;5.49;16.92;10.55;36.89;30.16
fundamental completo ou equivalente;100;9.84;14.43;20.68;35.33;19.71
médio incompleto ou equivalente;100;5.16;24.13;10.72;41.07;18.91
médio completo ou equivalente;100;5.87;15.81;15.31;29.71;33.29
superior incompleto ou equivalente;100;5.99;11.4;20.56;26.88;35.18
superior completo ou equivalente;100;6.16;23.56;21.16;32.6;16.52
sudeste (1);100;6.05;17.8;12.7;31.64;31.81
sem instrução;100;13.14;5.48;11.92;34.9;34.57
fundamental incompleto ou equivalente;100;3.49;21.57;9.41;34.61;30.93
fundamental completo ou equivalente;100;5.2;19.55;12.55;36.84;25.86
médio incompleto ou equivalente;100;6.06;13.78;13.87;21.57;44.71
médio completo ou equivalente;100;8.47;13.73;18.53;31.05;28.22
superior incompleto ou equivalente;100;14.25;12.04;25.6;18.63;29.48
superior completo ou equivalente;100;8.28;18.59;6.88;22.24;44.01
sul (1);100;11.32;23.37;11.41;27.2;26.71
sem instrução;100;2.29;18.76;8.28;39.86;30.81
fundamental incompleto ou equivalente;100;7.33;21.27;9.05;30.16;32.2
fundamental completo ou equivalente;100;19.15;31.85;3.69;22.31;23.0
médio incompleto ou equivalente;100;16.62;22.6;5.28;30.31;25.18
médio completo ou equivalente;100;16.98;21.98;26.89;21.78;12.37
superior incompleto ou equivalente;100;13.32;32.31;13.23;13.96;27.19
superior completo ou equivalente;100;6.96;38.24;25.53;10.46;18.8
centro-oeste (1);100;4.7;16.83;11.42;33.39;33.66
sem instrução;100;0.0;14.29;13.72;41.09;30.89
fundamental incompleto ou equivalente;100;4.03;14.15;10.42;29.54;41.85
fundamental completo ou equivalente;100;4.19;26.74;8.36;40.82;19.89
médio incompleto ou equivalente;100;9.0;19.21;15.77;36.17;19.84
médio completo ou equivalente;100;5.84;23.66;11.93;33.23;25.34
superior incompleto ou equivalente;100;8.7;7.56;16.26;50.05;17.42
superior completo ou equivalente;100;8.35;13.1;11.39;29.68;37.48
