nome_original;nome_arquivo_hash
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;1b74a5d3a84c93f0545a532ab6390886
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;2e1b5c8bbf547b0ddca6a272c88ae050
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de agressão física, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;dc386ccdb2582580dbe9287b8e68023d
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por grupos de idade, segundo a situação do domicílio e as Grandes Regiões;db0267794865061ec415d73169ee1c5d
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por grupos de idade, segundo a situação do domicílio e as Grandes Regiões;444035ee93236a197fdd709a5b2d0aa0
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de agressão física, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio e as Grandes Regiões;1a092d967659fd8bf17d85e4634b9332
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio e as Grandes Regiões;3f96a0cc0114b41726162f7570627b59
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio e as Grandes Regiões;55752afbc904c822f62de6785d6b1e33
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de agressão física, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio e as Grandes Regiões;61e56073fad473cad4ead13f4c984d0c
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por agressor na última agressão física, segundo a situação do domicílio e as Grandes Regiões;3e59b269da7337575c84dc94b4cdbb80
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por agressor na última agressão física, segundo a situação do domicílio e as Grandes Regiões;26f85eca4330bf694dc9d613068fb73f
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por local de ocorrência da última agressão física, segundo a situação do domicílio e as Grandes Regiões;8b1e2f538abda1e5b8110e35a25389a6
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por local de ocorrência da última agressão física, segundo a situação do domicílio e as Grandes Regiões;d6e69e5cd019be5ac973c69a9b225cfc
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por procura pela polícia em decorrência da última agressão física, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;372cffc3b592218b9c64c123f57f1c8b
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por procura pela polícia em decorrência da última agressão física, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;09613e18e44246de46fec1806b43b509
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência da última agressão física,;ef496a415a331a45e02b8ea0bb0f9c7e
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência da última agressão física,;368edced71b8de22e3caa5e016efda38
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, por realização do registro da última agressão física na delegacia de polícia, segundo a situação do domicílio;99b75ef049154d53a525c39d0bc65fd5
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, por realização do registro da última agressão física na delegacia de polícia, segundo;61ee917cf29669703bbd55afa326583c
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por agressor da última agressão física, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;57145de310755b0d13efc230cdf9fba1
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por agressor da última agressão física, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;d64b5097b54208a30fef315bb3fb599b
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por local de ocorrência da última agressão física, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;dfc61148daf82fc4d345ef2855839b17
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por local de ocorrência da última agressão física, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento;0a5bd511e81f2c0a222ba3e455d5f03e
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência da  última agressão física, segundo o sexo, a cor ou raça, os grupos de idade,;5f56505360691a951f63320d8d7d7fe9
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência da última agressão física, segundo o sexo, a cor ou raça, os grupos de idade,;e166124be61d8f62aa5fa38e0aaec4b1
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, mas não fizeram registro da última agressão física na delegacia de polícia, por motivo de não terem feito o registro da última;295b111d2b2459e303b647953314af04
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias, mas não fizeram registro da  última agressão física na delegacia de polícia, por motivo de não terem;4b974c9b6e3cb6407decacb41a58b8ba
