;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda
               Brasil;2.18;2.52;2.75;2.92;2.66
Situação do domicílio;;;;;
Urbana;2.33;2.68;2.91;3.09;2.86
Rural;7.28;8.16;9.43;10.66;8.11
Grandes Regiões e Unidades da Federação;;;;;
Norte;5.08;5.47;7.34;9.22;5.19
Rondônia;15.48;21.57;12.42;21.66;15.79
Acre;21.99;20.6;26.85;44.59;15.11
Amazonas;12.95;12.82;21.71;27.6;14.52
Roraima;16.55;24.38;24.4;23.16;22.53
Pará;7.58;7.9;11.18;15.12;7.49
Amapá;18.56;20.32;27.95;25.25;19.16
Tocantins;14.34;14.68;24.46;23.81;17.1
Nordeste;4.1;4.76;4.94;6.15;4.47
Maranhão;17.52;20.98;17.0;16.35;20.9
Piauí;15.4;16.45;18.24;30.0;14.74
Ceará;8.67;8.19;13.53;14.51;8.98
Rio Grande do Norte;14.77;15.56;17.49;18.66;16.11
Paraíba;18.73;17.79;25.36;21.88;19.89
Pernambuco;6.58;7.96;9.18;11.82;7.91
Alagoas;13.05;12.71;21.53;38.43;14.52
Sergipe;20.21;23.62;20.23;31.83;22.86
Bahia;6.1;7.01;8.32;15.22;5.97
Sudeste;3.93;4.68;4.89;4.89;5.17
Minas Gerais;7.32;8.49;8.57;11.86;7.64
Espírito Santo;13.89;19.09;18.66;16.87;16.69
Rio de Janeiro;8.29;10.49;10.6;10.5;11.21
São Paulo;5.81;6.81;7.45;6.41;9.1
Sul;4.82;5.28;6.36;5.33;7.99
Paraná;7.24;7.75;9.7;8.3;11.67
Santa Catarina;11.91;13.37;14.79;12.66;18.13
Rio Grande do Sul;7.48;8.29;10.05;8.19;13.67
Centro-Oeste;6.2;7.47;7.22;8.44;7.46
Mato Grosso do Sul;14.46;19.08;15.35;22.02;14.57
Mato Grosso;16.54;19.57;17.47;22.07;19.35
Goiás;8.37;10.05;10.18;11.64;10.51
Distrito Federal;13.75;13.93;21.37;17.43;17.39
