;total(1);sexo;sexo;cor ou raça;cor ou raça
;unnamed: 1_level_1;homens;mulheres;branca;preta/parda
               brasil;0.0;1.26;1.68;2.04;1.43
situação do domicílio;;;;;
urbana;0.0;1.31;1.74;2.13;1.56
rural;0.0;4.09;5.6;7.47;3.71
grandes regiões e unidades da federação;;;;;
norte;0.0;2.92;4.61;7.1;1.93
rondônia;0.0;8.04;13.91;14.27;7.08
acre;0.0;7.57;9.52;25.34;10.26
amazonas;0.0;7.6;13.87;26.15;5.07
roraima;0.0;18.57;17.29;21.67;11.24
pará;0.0;4.34;6.77;11.47;2.48
amapá;0.0;12.43;17.71;15.91;6.18
tocantins;0.0;8.4;16.54;24.13;5.8
nordeste;0.0;2.14;3.06;4.78;1.58
maranhão;0.0;6.58;12.16;15.1;5.48
piauí;0.0;6.23;9.35;21.65;4.75
ceará;0.0;4.4;7.73;10.73;3.47
rio grande do norte;0.0;6.85;7.83;11.78;6.07
paraíba;0.0;10.74;11.49;11.33;6.68
pernambuco;0.0;4.79;6.09;9.38;5.31
alagoas;0.0;8.4;13.06;32.42;11.44
sergipe;0.0;6.89;14.8;29.12;7.28
bahia;0.0;4.06;5.13;12.52;2.47
sudeste;0.0;2.53;2.94;3.1;3.2
minas gerais;0.0;3.93;4.83;7.81;4.55
espírito santo;0.0;13.81;11.77;13.64;7.66
rio de janeiro;0.0;6.58;6.45;6.94;7.09
são paulo;0.0;3.7;4.51;4.01;5.97
sul;0.0;2.51;3.82;2.62;6.11
paraná;0.0;3.79;5.63;4.24;9.07
santa catarina;0.0;6.1;8.73;5.0;13.38
rio grande do sul;0.0;3.92;6.38;4.39;10.53
centro-oeste;0.0;3.5;4.51;6.28;3.48
mato grosso do sul;0.0;9.46;9.64;13.44;7.92
mato grosso;0.0;7.35;10.49;15.71;6.98
goiás;0.0;4.92;6.53;9.52;5.14
distrito federal;0.0;9.52;12.48;11.99;9.51
