;total(1);sexo;sexo;cor ou raça;cor ou raça
;total;homens;mulheres;branca;preta/parda
               brasil;2.18;2.52;2.75;2.95;2.58
urbana;2.22;2.55;2.86;3.08;2.62
rural;7.02;7.93;9.15;10.19;7.78
norte;5.05;5.5;7.31;9.11;5.14
rondônia;15.15;21.05;12.35;20.6;15.53
acre;22.39;20.07;27.73;45.21;15.96
amazonas;12.85;13.04;21.51;26.29;14.44
roraima;16.66;25.43;24.47;22.35;22.6
pará;7.55;7.97;11.16;15.06;7.43
amapá;18.56;21.06;26.94;27.46;17.98
tocantins;14.23;14.75;24.05;23.04;16.86
nordeste;4.07;4.76;4.89;5.88;4.36
maranhão;16.94;20.91;15.96;17.07;19.35
piauí;15.67;17.26;18.62;31.95;15.27
ceará;8.78;8.15;13.53;13.4;9.16
rio grande do norte;14.82;15.46;17.55;18.79;15.82
paraíba;18.6;17.56;25.64;22.7;18.75
pernambuco;6.63;8.06;9.1;11.31;7.95
alagoas;13.2;12.98;21.91;32.89;13.48
sergipe;20.05;23.08;20.5;28.06;21.95
bahia;6.11;7.07;8.22;13.71;6.14
sudeste;3.95;4.68;4.92;4.98;5.02
minas gerais;7.35;8.53;8.66;11.77;7.52
espírito santo;14.0;18.65;18.7;18.78;15.1
rio de janeiro;8.33;10.47;10.61;10.6;10.95
são paulo;5.85;6.8;7.47;6.59;8.81
sul;4.84;5.32;6.32;5.4;7.25
paraná;7.29;7.75;9.74;8.33;11.1
santa catarina;11.88;13.46;14.56;13.03;13.55
rio grande do sul;7.55;8.41;9.99;8.25;12.64
centro-oeste;6.16;7.35;7.25;8.42;7.08
mato grosso do sul;14.3;18.84;15.36;21.52;13.74
mato grosso;16.11;19.13;17.38;21.68;17.28
goiás;8.47;9.87;10.35;11.8;10.28
distrito federal;13.74;14.0;21.13;17.78;17.19
