;total(1);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo)
;unnamed: 1_level_1;sem rendimento a menos de 1/4(2);1/4 a menosde 1/2;1/2 a menosde 1;1 a menosde 2;2 ou mais
               brasil;0.0;4.7;3.48;2.92;3.2;4.97
situação do domicílio;;;;;;
urbana;0.0;5.22;3.81;3.05;3.28;5.06
rural;0.0;9.12;8.8;9.92;13.28;26.73
grandes regiões;;;;;;
norte;0.0;10.4;6.4;6.95;9.46;12.53
nordeste;0.0;6.17;4.98;4.5;6.78;9.83
sudeste;0.0;10.99;8.63;6.06;5.17;7.78
sul;0.0;14.22;8.36;7.01;6.85;10.23
centro-oeste;0.0;18.1;11.57;6.04;7.43;12.66
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
