;Total ;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física
;;Pessoa desconhecida;"Policial ou segurança
privada";"Cônjuge ou
ex-cônjuge";Parente;"Pessoa
conhecida"
               Brasil;0.0;2.24;7.56;4.33;5.69;2.31
Situação do domicílio;;;;;;
Urbana;0.0;2.3;7.79;4.58;5.99;2.43
Rural;0.0;8.24;26.07;11.86;14.68;6.21
Grandes Regiões ;;;;;;
Norte;0.0;4.76;19.23;9.77;14.13;5.88
Nordeste;0.0;3.94;13.48;7.26;9.59;3.73
Sudeste;0.0;4.26;12.58;8.32;10.41;4.29
Sul;0.0;5.82;20.0;11.48;14.38;5.98
