;Total;Procura pela polícia em decorrência da última agressão física;Procura pela polícia em decorrência da última agressão física
;;Procuraram ;Não procuraram 
               Brasil;0.0;1.77;1.41
Situação do domicílio;;;
Urbana;0.0;1.87;1.47
Rural;0.0;5.36;4.66
Grandes Regiões e Unidades da Federação;;;
Norte;0.0;4.26;3.38
Rondônia;0.0;7.63;11.09
Acre;0.0;14.58;13.23
Amazonas;0.0;12.95;8.09
Roraima;0.0;21.72;12.31
Pará;0.0;6.75;5.08
Amapá;0.0;10.52;11.64
Tocantins;0.0;13.74;8.33
Nordeste;0.0;3.64;2.08
Maranhão;0.0;13.98;6.6
Piauí;0.0;18.02;6.01
Ceará;0.0;7.21;4.37
Rio Grande do Norte;0.0;10.5;7.6
Paraíba;0.0;18.51;9.41
Pernambuco;0.0;7.8;4.58
Alagoas;0.0;16.22;12.48
Sergipe;0.0;10.92;7.65
Bahia;0.0;6.14;3.71
Sudeste;0.0;2.94;2.73
Minas Gerais;0.0;4.52;5.24
Espírito Santo;0.0;8.04;7.36
Rio de Janeiro;0.0;8.35;5.19
São Paulo;0.0;4.48;4.12
Sul;0.0;3.64;3.64
Paraná;0.0;6.42;5.03
Santa Catarina;0.0;7.32;9.81
Rio Grande do Sul;0.0;5.34;5.95
Centro-Oeste;0.0;4.44;4.22
Mato Grosso do Sul;0.0;7.94;9.8
Mato Grosso;0.0;10.06;10.46
Goiás;0.0;7.42;5.33
