Situação do domicílio e                                                    Grandes Regiões;Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%)
;Total;Motivo de não terem procurado a polícia em decorrência da última agressão física;Motivo de não terem procurado a polícia em decorrência da última agressão física.1;Motivo de não terem procurado a polícia em decorrência da última agressão física.2;Motivo de não terem procurado a polícia em decorrência da última agressão física.3;Motivo de não terem procurado a polícia em decorrência da última agressão física.4
               Brasil;0.0;7.93;4.78;5.51;3.11;3.89
Situação do domicílio;;;;;;
Urbana;0.0;8.28;4.75;5.69;3.25;3.87
Rural;0.0;23.99;18.95;20.37;9.69;12.68
Grandes Regiões;;;;;;
Norte;0.0;16.69;12.49;10.86;7.6;9.67
Nordeste;0.0;13.34;8.47;8.57;4.6;7.63
Sudeste;0.0;16.99;8.92;11.29;6.2;6.29
Sul;0.0;15.93;10.85;15.17;9.63;9.65
