Situação do domicílio e                                                    Grandes Regiões ;Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência da última agressão física que foram vítimas, no período de referência de 365 dias (%)
;Total;Realização do registro da última agressão física na delegacia de polícia;Realização do registro da última agressão física na delegacia de polícia.1
               Brasil;2.71;2.83;6.46
Situação do domicílio;;;
Urbana;2.92;3.04;6.84
Rural;8.72;9.07;20.78
Grandes Regiões;;;
Norte;6.52;6.75;16.45
Nordeste;4.94;5.15;10.5
Sudeste;4.9;5.08;11.7
Sul;5.99;6.38;18.94
