;Total;Local de ocorrência da última agressão física;Local de ocorrência da última agressão física;Local de ocorrência da última agressão física
;;Própria residência ;Via pública;Outro
Total (1)(2);2.18;3.63;2.61;3.57
Sexo;;;;
Homens;2.52;5.98;3.06;4.15
Mulheres;2.75;3.91;4.1;5.52
Cor ou raça;;;;
Branca;2.92;5.3;3.91;4.99
Preta ou parda;2.66;4.48;3.24;4.53
Preta;6.03;10.15;6.54;11.61
Parda;2.75;4.99;3.5;4.77
Grupos de idade;;;;
10 a 24 anos;2.98;7.11;3.66;4.56
25 a 34 anos;3.5;5.76;4.77;7.09
35 a 39 anos;5.56;9.35;7.57;10.63
40 a 49 anos;4.49;7.07;6.29;9.34
50 anos ou mais;4.24;6.97;6.03;9.76
Nível de instrução;;;;
Sem instrução;5.94;8.93;8.18;12.19
Fundamental incompleto ou equivalente;2.79;5.26;3.55;4.56
Fundamental completo ou equivalente;4.99;9.12;6.64;9.57
Médio incompleto ou equivalente;5.52;12.13;7.18;10.1
Médio completo ou equivalente;4.0;7.28;5.29;7.93
Superior incompleto ou equivalente;8.61;17.67;12.06;16.83
Superior completo ou equivalente;7.53;15.84;9.93;15.78
Classes de rendimento mensal domiciliar per capita;;;;
Total (3)(4);2.19;3.64;2.62;3.59
Sem rendimento a menos ;;;;
de 1/4 do salário mínimo (3)(5);5.28;8.16;6.26;9.47
1/4 a menos de 1/2 salário mínimo (3);4.23;6.98;5.5;7.86
1/2 a menos de 1 salário mínimo (3);3.7;6.56;4.78;6.0
1 a menos de 2 salários mínimos (3) ;3.68;7.16;4.98;6.37
2 salários mínimos ou mais (3) ;5.35;11.5;6.7;9.9
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;
(1) Inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) Inclusive as pessoas com nível de instrução não determinado. (3) Ex-;;;;
