;unnamed: 1_level_0;própria residência;via pública;outro
;2525.178;642.641;1212.033;670.504
sem instrução;207.12;76.85;91.18;39.09
fundamental incompleto ou equivalente;1116.04;276.67;503.6;335.77
fundamental completo ou equivalente;287.69;68.34;148.32;71.04
médio incompleto ou equivalente;220.64;43.59;116.42;60.62
médio completo ou equivalente;481.78;133.03;234.51;114.24
superior incompleto ou equivalente;85.53;16.68;47.98;20.87
superior completo ou equivalente;114.74;25.44;62.88;26.42
norte (1);236.34;56.02;123.9;56.42
sem instrução;17.2;7.69;5.66;3.85
fundamental incompleto ou equivalente;108.18;21.48;59.48;27.21
fundamental completo ou equivalente;22.87;6.28;11.36;5.23
médio incompleto ou equivalente;22.81;4.36;12.51;5.93
médio completo ou equivalente;48.08;11.86;26.36;9.86
superior incompleto ou equivalente;8.05;1.81;4.72;1.52
superior completo ou equivalente;6.72;2.02;2.37;2.34
nordeste (1);812.06;218.58;400.08;193.41
sem instrução;100.86;37.65;42.81;20.41
fundamental incompleto ou equivalente;393.36;104.94;183.58;104.83
fundamental completo ou equivalente;80.62;19.66;43.89;17.08
médio incompleto ou equivalente;62.1;12.38;36.09;13.63
médio completo ou equivalente;131.6;36.06;70.24;25.3
superior incompleto ou equivalente;16.1;2.48;8.81;4.81
superior completo ou equivalente;23.88;4.51;12.52;6.84
sudeste (1);942.58;232.62;451.2;258.77
sem instrução;49.66;16.66;26.79;6.21
fundamental incompleto ou equivalente;371.63;89.12;165.94;116.57
fundamental completo ou equivalente;125.49;30.06;59.86;35.57
médio incompleto ou equivalente;89.34;18.14;43.01;28.19
médio completo ou equivalente;199.36;60.9;88.4;50.06
superior incompleto ou equivalente;45.19;6.2;29.28;9.71
superior completo ou equivalente;60.39;11.54;36.9;11.94
sul (1);345.78;83.79;159.05;102.94
sem instrução;22.59;8.74;8.04;5.81
fundamental incompleto ou equivalente;154.73;38.73;64.04;51.96
fundamental completo ou equivalente;42.88;7.77;25.67;9.44
médio incompleto ou equivalente;29.7;5.72;15.17;8.82
médio completo ou equivalente;68.18;15.03;32.9;20.24
superior incompleto ou equivalente;9.89;3.86;3.53;2.5
superior completo ou equivalente;14.31;3.31;7.47;3.53
centro-oeste (1);188.41;51.64;77.82;58.96
sem instrução;16.8;6.11;7.86;2.82
fundamental incompleto ou equivalente;88.14;22.4;30.55;35.2
fundamental completo ou equivalente;15.82;4.57;7.54;3.71
médio incompleto ou equivalente;16.69;2.99;9.65;4.05
médio completo ou equivalente;34.56;9.18;16.6;8.78
superior incompleto ou equivalente;6.31;2.33;1.64;2.33
superior completo ou equivalente;9.44;4.05;3.62;1.76
