;Unnamed: 1_level_0;Própria residência ;Via pública;Outro
Brasil (1);2510.073;640.534;1203.049;666.49
Sem rendimento a menos de 1/4 do salário mínimo (2);349.86;117.94;151.46;80.46
1/4 a menos de 1/2 salário mínimo ;530.13;150.99;254.24;124.9
1/2 a menos de 1 salário mínimo ;688.73;177.69;314.55;196.49
1 a menos de 2 salários mínimos ;547.52;115.5;275.04;156.99
2 salários mínimos ou mais ;318.76;57.32;170.43;91.01
Norte (1);234.75;55.69;122.87;56.19
Sem rendimento a menos de 1/4 do salário mínimo (2);32.17;9.16;16.48;6.53
1/4 a menos de 1/2 salário mínimo ;66.15;15.48;33.25;17.42
1/2 a menos de 1 salário mínimo ;69.15;16.67;36.78;15.7
1 a menos de 2 salários mínimos ;42.36;7.74;25.25;9.38
2 salários mínimos ou mais ;20.09;5.4;8.35;6.34
Nordeste (1);807.39;217.41;397.05;192.93
Sem rendimento a menos de 1/4 do salário mínimo (2);182.37;61.56;84.44;36.37
1/4 a menos de 1/2 salário mínimo ;233.64;67.47;115.7;50.46
1/2 a menos de 1 salário mínimo ;211.08;49.01;102.09;59.99
1 a menos de 2 salários mínimos ;113.61;26.85;55.87;30.89
2 salários mínimos ou mais ;54.72;8.76;34.64;11.32
Sudeste (1);937.62;232.0;448.43;257.19
Sem rendimento a menos de 1/4 do salário mínimo (2);85.27;32.66;33.63;18.98
1/4 a menos de 1/2 salário mínimo ;134.84;40.63;63.89;30.31
1/2 a menos de 1 salário mínimo ;250.94;65.63;112.22;73.08
1 a menos de 2 salários mínimos ;255.85;53.09;126.24;76.53
2 salários mínimos ou mais ;166.73;27.11;89.86;49.76
Sul (1);343.17;83.79;157.63;101.75
Sem rendimento a menos de 1/4 do salário mínimo (2);34.28;8.64;12.06;13.57
1/4 a menos de 1/2 salário mínimo ;60.86;16.74;29.79;14.32
1/2 a menos de 1 salário mínimo ;98.6;28.77;39.11;30.73
1 a menos de 2 salários mínimos ;87.7;16.89;44.55;26.26
2 salários mínimos ou mais ;53.1;11.07;26.83;15.2
Centro-Oeste (1);187.14;51.64;77.07;58.43
Sem rendimento a menos de 1/4 do salário mínimo (2);15.78;5.93;4.84;5.01
1/4 a menos de 1/2 salário mínimo ;34.66;10.66;11.6;12.4
1/2 a menos de 1 salário mínimo ;58.96;17.62;24.36;16.99
1 a menos de 2 salários mínimos ;47.99;10.94;23.13;13.92
2 salários mínimos ou mais ;24.12;4.98;10.74;8.39
