;Unnamed: 1_level_0;Própria residência ;Via pública;Outro
Brasil (1);100.0;25.518540695828367;47.92884509733382;26.55261420683781
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;33.71;43.29;23.0
1/4 a menos de 1/2 salário mínimo ;100.0;28.48;47.96;23.56
1/2 a menos de 1 salário mínimo ;100.0;25.8;45.67;28.53
1 a menos de 2 salários mínimos ;100.0;21.1;50.23;28.67
2 salários mínimos ou mais ;100.0;17.98;53.47;28.55
Norte (1);100.0;23.72;52.34;23.93
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;28.47;51.24;20.29
1/4 a menos de 1/2 salário mínimo ;100.0;23.4;50.26;26.34
1/2 a menos de 1 salário mínimo ;100.0;24.11;53.19;22.7
1 a menos de 2 salários mínimos ;100.0;18.26;59.59;22.14
2 salários mínimos ou mais ;100.0;26.87;41.56;31.57
Nordeste (1);100.0;26.93;49.18;23.9
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;33.75;46.3;19.94
1/4 a menos de 1/2 salário mínimo ;100.0;28.88;49.52;21.6
1/2 a menos de 1 salário mínimo ;100.0;23.22;48.36;28.42
1 a menos de 2 salários mínimos ;100.0;23.63;49.18;27.19
2 salários mínimos ou mais ;100.0;16.02;63.3;20.68
Sudeste (1);100.0;24.74;47.83;27.43
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;38.3;39.44;22.25
1/4 a menos de 1/2 salário mínimo ;100.0;30.13;47.39;22.48
1/2 a menos de 1 salário mínimo ;100.0;26.15;44.72;29.12
1 a menos de 2 salários mínimos ;100.0;20.75;49.34;29.91
2 salários mínimos ou mais ;100.0;16.26;53.9;29.84
Sul (1);100.0;24.42;45.93;29.65
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;25.2;35.2;39.6
1/4 a menos de 1/2 salário mínimo ;100.0;27.51;48.96;23.53
1/2 a menos de 1 salário mínimo ;100.0;29.18;39.66;31.16
1 a menos de 2 salários mínimos ;100.0;19.26;50.79;29.95
2 salários mínimos ou mais ;100.0;20.84;50.53;28.63
Centro-Oeste (1);100.0;27.59;41.18;31.22
Sem rendimento a menos de 1/4 do salário mínimo (2);100.0;37.57;30.68;31.75
1/4 a menos de 1/2 salário mínimo ;100.0;30.77;33.47;35.77
1/2 a menos de 1 salário mínimo ;100.0;29.88;41.31;28.81
1 a menos de 2 salários mínimos ;100.0;22.79;48.21;29.0
2 salários mínimos ou mais ;100.0;20.66;44.54;34.8
