;unnamed: 1_level_0;própria residência;via pública;outro
;2.1883677324355193;3.6436670669040225;2.6185283678432056;3.587213891300842
sem rendimento a menos de 1/4 do salário mínimo (2);5.28;8.16;6.26;9.47
1/4 a menos de 1/2 salário mínimo ;4.23;6.98;5.5;7.86
1/2 a menos de 1 salário mínimo ;3.7;6.56;4.78;6.0
1 a menos de 2 salários mínimos ;3.68;7.16;4.98;6.37
2 salários mínimos ou mais ;5.35;11.5;6.7;9.9
norte (1);5.11;10.51;5.76;8.18
sem rendimento a menos de 1/4 do salário mínimo (2);11.1;22.23;15.25;20.14
1/4 a menos de 1/2 salário mínimo ;8.83;16.73;10.86;14.67
1/2 a menos de 1 salário mínimo ;8.31;17.46;9.74;14.71
1 a menos de 2 salários mínimos ;11.11;23.15;14.32;15.88
2 salários mínimos ou mais ;12.54;23.73;17.98;19.96
nordeste (1);4.11;6.49;4.65;7.16
sem rendimento a menos de 1/4 do salário mínimo (2);7.56;11.64;8.24;13.86
1/4 a menos de 1/2 salário mínimo ;6.51;9.97;8.72;13.52
1/2 a menos de 1 salário mínimo ;6.43;12.55;8.47;11.0
1 a menos de 2 salários mínimos ;7.49;15.63;9.38;12.68
2 salários mínimos ou mais ;10.31;25.22;12.68;20.56
sudeste (1);3.94;6.35;4.9;6.42
sem rendimento a menos de 1/4 do salário mínimo (2);11.79;16.42;15.31;21.9
1/4 a menos de 1/2 salário mínimo ;9.9;16.15;12.07;17.36
1/2 a menos de 1 salário mínimo ;7.33;11.92;9.31;11.13
1 a menos de 2 salários mínimos ;6.03;11.32;8.5;10.43
2 salários mínimos ou mais ;8.66;19.36;10.53;15.94
sul (1);4.77;10.08;5.73;7.68
sem rendimento a menos de 1/4 do salário mínimo (2);15.8;28.7;21.08;24.2
1/4 a menos de 1/2 salário mínimo ;9.64;19.49;13.57;21.52
1/2 a menos de 1 salário mínimo ;8.4;16.17;11.69;13.46
1 a menos de 2 salários mínimos ;8.24;16.58;11.07;14.32
2 salários mínimos ou mais ;10.95;24.67;14.54;18.84
centro-oeste (1);6.22;9.23;7.86;8.82
sem rendimento a menos de 1/4 do salário mínimo (2);18.42;25.36;30.23;33.47
1/4 a menos de 1/2 salário mínimo ;14.42;22.05;18.67;19.83
1/2 a menos de 1 salário mínimo ;8.38;14.71;11.65;15.09
1 a menos de 2 salários mínimos ;9.76;17.39;11.74;15.58
2 salários mínimos ou mais ;13.4;28.1;18.44;20.61
