;total;agressor na última agressão física;agressor na última agressão física.1;agressor na última agressão física.2;agressor na última agressão física.3;agressor na última agressão física.4
total (1)(2);0.0;2.24;7.56;4.33;5.69;2.31
homens;0.0;2.36;7.93;15.52;8.55;2.62
mulheres;0.0;3.89;18.32;4.16;6.66;3.76
branca;0.0;3.28;12.88;6.96;9.54;4.17
preta ou parda;0.0;2.8;8.97;5.56;6.63;2.63
preta;0.0;7.01;19.82;11.35;12.53;6.32
parda;0.0;3.09;9.84;6.36;7.72;2.92
10 a 24 anos;0.0;3.36;10.86;8.91;10.08;2.73
25 a 34 anos;0.0;4.19;14.18;6.38;10.63;4.89
35 a 39 anos;0.0;6.8;26.74;10.55;18.09;7.77
40 a 49 anos;0.0;5.12;19.33;10.31;13.83;7.12
50 anos ou mais;0.0;4.38;25.41;14.01;12.45;6.86
sem instrução;0.0;6.81;28.9;14.15;12.92;6.67
fundamental incompleto ou equivalente;0.0;3.62;10.4;6.76;8.32;2.66
fundamental completo ou equivalente;0.0;5.68;17.59;11.65;14.14;7.07
médio incompleto ou equivalente;0.0;6.05;28.96;13.75;18.17;7.43
médio completo ou equivalente;0.0;3.6;18.14;8.19;14.58;6.61
superior incompleto ou equivalente;0.0;6.79;36.9;23.56;28.08;17.77
superior completo ou equivalente;0.0;6.19;40.82;26.78;30.42;13.59
total (3)(4);0.0;2.25;7.56;4.35;5.69;2.31
de 1/4 do salário mínimo (3)(5);0.0;6.78;18.38;8.59;12.49;4.86
1/4 a menos de 1/2 salário mínimo (3);0.0;5.16;14.86;7.96;11.53;4.48
1/2 a menos de 1 salário mínimo (3);0.0;4.13;13.96;7.97;9.77;3.51
1 a menos de 2 salários mínimos (3) ;0.0;4.18;15.52;9.61;12.02;5.38
2 salários mínimos ou mais (3) ;0.0;4.08;23.51;18.93;19.62;8.34
