;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.64;1.69;2.09;2.04;2.14;4.23;2.2
urbana;1.76;1.85;2.15;2.16;2.3;4.5;2.35
rural;4.97;5.15;7.13;7.13;6.03;13.55;6.43
norte;4.25;4.63;5.03;7.6;4.39;10.9;4.68
rondônia;9.38;10.09;11.51;13.61;9.34;21.36;9.75
acre;10.25;12.32;10.93;14.06;9.91;26.35;10.92
amazonas;11.62;10.92;15.03;18.34;11.7;34.27;11.81
roraima;10.37;13.77;12.33;20.55;10.78;31.01;12.21
pará;7.41;8.18;8.59;15.4;7.5;19.1;8.28
amapá;13.63;17.49;15.38;20.53;15.9;36.22;15.1
tocantins;11.59;11.03;14.49;17.56;12.77;26.37;10.97
nordeste;3.93;3.72;4.94;4.63;4.5;8.3;4.5
maranhão;18.22;16.36;21.55;19.66;19.47;36.64;18.7
piauí;13.25;11.87;17.99;19.17;11.95;24.72;12.5
ceará;7.06;7.83;7.83;9.93;7.75;30.19;7.37
rio grande do norte;10.88;12.53;13.35;16.22;11.09;24.54;11.76
paraíba;11.57;13.45;13.41;16.55;13.31;26.05;13.91
pernambuco;6.01;6.27;7.95;8.24;6.89;16.49;7.63
alagoas;11.04;11.66;16.39;20.89;11.84;30.38;12.52
sergipe;9.41;11.56;11.91;15.84;11.01;27.02;11.11
bahia;5.71;5.88;6.91;9.72;5.66;6.96;6.85
sudeste;2.8;2.98;3.55;3.45;3.61;6.87;3.83
minas gerais;4.96;5.37;5.99;6.45;5.3;11.05;5.41
espírito santo;10.31;12.72;11.66;14.43;10.62;21.8;10.6
rio de janeiro;5.69;6.56;7.25;6.8;8.45;14.15;9.18
são paulo;4.23;4.37;5.52;4.91;6.45;11.84;7.03
sul;3.23;3.46;4.28;3.77;5.62;10.95;6.2
paraná;4.69;4.94;6.78;5.41;8.1;19.27;8.91
santa catarina;7.64;8.05;10.22;8.49;14.08;24.85;15.1
rio grande do sul;5.25;5.69;6.54;6.22;9.23;15.64;10.42
centro-oeste;3.18;3.88;4.05;4.38;4.14;9.76;4.22
mato grosso do sul;7.28;7.77;10.22;10.73;10.11;26.49;9.99
mato grosso;7.15;9.62;8.66;10.19;9.28;19.51;9.86
goiás;4.89;5.89;6.17;6.32;6.19;14.77;6.2
distrito federal;6.58;7.93;8.57;9.65;7.73;18.89;8.57
