;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;1.63;1.67;1.7;4.31;2.52
urbana;1.59;1.65;1.68;4.38;2.52
rural;4.6;4.82;4.85;20.73;8.22
norte;4.16;4.14;4.18;10.29;5.78
rondônia;8.94;8.95;9.53;27.37;12.72
acre;10.61;8.55;7.36;54.53;19.85
amazonas;11.47;11.43;11.35;23.89;16.75
roraima;10.48;10.18;10.27;30.0;18.19
pará;7.22;7.21;7.25;16.11;9.52
amapá;13.54;12.49;12.3;37.4;20.98
tocantins;11.69;12.61;13.47;30.0;12.76
nordeste;3.87;3.92;4.07;7.16;5.61
maranhão;17.62;17.55;18.1;23.45;22.69
piauí;13.13;12.64;13.13;56.7;20.41
ceará;7.14;7.53;7.65;16.08;9.34
rio grande do norte;10.77;11.74;12.05;19.35;14.38
paraíba;11.63;12.15;11.73;28.11;17.3
pernambuco;6.04;6.79;7.54;17.74;8.96
alagoas;10.75;11.9;11.59;27.52;18.52
sergipe;9.21;10.17;10.75;29.66;14.7
bahia;5.68;6.13;6.34;13.36;8.49
sudeste;2.8;2.94;2.94;8.08;4.24
minas gerais;4.96;5.11;5.17;12.26;7.21
espírito santo;10.3;10.8;11.39;24.72;16.23
rio de janeiro;5.71;6.33;6.6;20.14;8.69
são paulo;4.22;4.41;4.37;12.09;6.67
sul;3.2;3.35;3.48;11.11;5.76
paraná;4.63;5.01;5.12;16.69;8.72
santa catarina;7.61;7.57;7.58;29.06;13.97
rio grande do sul;5.2;5.48;5.91;17.31;9.01
centro-oeste;3.19;3.34;3.35;9.58;5.64
mato grosso do sul;7.2;7.18;7.23;20.66;12.23
mato grosso;7.06;7.53;7.64;24.69;10.57
goiás;5.01;5.19;5.17;14.6;9.9
