;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%)
total (1)(2);1.92;3.32;2.98;3.06;3.81;4.15
homens;2.05;3.63;3.66;3.49;4.97;5.3
mulheres;2.51;4.37;3.91;4.35;4.81;5.37
branca;2.45;4.28;4.41;4.1;5.62;5.96
preta ou parda;2.5;4.18;3.87;4.05;4.81;5.26
preta;5.09;8.74;8.35;9.3;10.59;12.16
parda;2.55;4.46;4.2;4.18;4.99;5.67
10 a 24 anos;2.82;5.78;4.5;5.31;7.09;7.73
25 a 34 anos;3.19;5.55;5.64;5.65;7.41;7.75
35 a 39 anos;4.28;7.44;8.35;7.99;10.34;11.47
40 a 49 anos;3.41;5.87;6.57;6.3;7.29;8.68
50 anos ou mais;2.86;5.42;5.33;5.18;6.13;7.63
sem instrução;4.76;8.2;9.06;9.96;8.62;12.72
fundamental incompleto ou equivalente;2.71;4.67;4.62;5.03;5.29;6.64
fundamental completo ou equivalente;3.92;7.89;7.73;8.06;10.28;11.41
médio incompleto ou equivalente;4.34;8.27;8.28;7.88;11.78;12.33
médio completo ou equivalente;2.91;5.68;5.09;5.45;8.12;7.67
superior incompleto ou equivalente;5.45;11.19;10.03;9.76;16.67;14.91
superior completo ou equivalente;5.07;9.64;8.56;8.69;14.55;11.48
total (3)(4);1.92;3.33;2.98;3.06;3.82;4.17
   sem rendimento a menos de 1/4 do salário mínimo (3)(5);5.01;8.28;9.91;11.64;10.61;13.69
1/4 a menos de 1/2 salário mínimo (3);3.95;7.21;6.4;7.1;8.9;10.27
1/2 a menos de 1 salário mínimo (3);3.13;5.23;5.29;5.63;6.57;8.19
1 a menos de 2 salários mínimos (3) ;2.9;5.7;5.15;5.12;6.54;7.17
2 salários mínimos ou mais (3) ;3.43;6.45;5.86;5.53;8.39;8.66
