;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
               brasil;0;0.58;5.11
urbana;0;0.59;5.34
rural;0;2.35;17.0
norte;0;1.72;15.47
rondônia;0;2.9;44.29
acre;0;4.06;26.71
amazonas;0;1.91;57.9
roraima;0;4.48;72.79
pará;0;4.46;22.74
amapá;0;3.64;57.34
tocantins;0;5.12;47.24
nordeste;0;1.67;8.9
maranhão;0;6.55;31.26
piauí;0;6.3;28.35
ceará;0;2.64;11.55
rio grande do norte;0;5.58;27.9
paraíba;0;11.3;36.16
pernambuco;0;4.86;36.71
alagoas;0;12.05;32.71
sergipe;0;5.28;16.44
bahia;0;1.92;20.2
sudeste;0;0.85;9.87
minas gerais;0;1.33;16.83
espírito santo;0;4.62;34.25
rio de janeiro;0;2.11;24.73
são paulo;0;1.24;14.44
sul;0;1.16;12.76
paraná;0;1.74;17.93
santa catarina;0;2.96;28.41
rio grande do sul;0;1.67;21.94
centro-oeste;0;1.76;11.15
mato grosso do sul;0;2.01;30.21
mato grosso;0;5.15;21.64
goiás;0;3.17;14.99
