;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.63;1.7;2.04;2.0;2.09;3.99;2.15
urbana;1.59;1.72;1.99;2.02;2.03;4.08;2.08
rural;4.6;4.68;7.0;6.72;5.61;12.38;6.13
norte;4.16;4.52;4.88;7.27;4.31;9.23;4.59
rondônia;8.94;10.03;11.21;12.61;8.94;20.94;9.42
acre;10.61;11.75;11.38;13.64;10.75;21.77;11.3
amazonas;11.47;11.2;14.32;16.89;11.57;30.77;11.66
roraima;10.48;13.68;11.81;18.26;10.38;27.14;11.65
pará;7.22;7.82;8.43;14.86;7.27;15.56;8.01
amapá;13.54;18.29;13.99;20.74;14.44;27.02;15.14
tocantins;11.69;11.29;14.32;17.68;13.44;23.38;12.09
nordeste;3.87;3.75;4.81;4.27;4.4;7.82;4.45
maranhão;17.62;16.47;20.47;18.66;18.16;31.73;17.77
piauí;13.13;12.66;17.07;14.79;13.2;28.36;13.67
ceará;7.14;7.79;7.83;9.05;7.81;25.8;7.49
rio grande do norte;10.77;12.4;13.13;15.28;10.94;22.81;12.16
paraíba;11.63;13.9;13.37;15.39;14.63;29.17;14.83
pernambuco;6.04;6.5;7.99;7.76;7.25;16.26;7.79
alagoas;10.75;11.53;16.2;17.98;11.08;34.15;11.68
sergipe;9.21;11.1;12.34;12.47;10.57;21.61;10.93
bahia;5.68;6.01;6.67;9.16;5.66;6.98;7.02
sudeste;2.8;3.01;3.51;3.43;3.5;6.53;3.71
minas gerais;4.96;5.42;5.9;6.54;5.41;10.54;5.51
espírito santo;10.3;13.0;11.7;13.83;11.41;21.72;11.56
rio de janeiro;5.71;6.58;7.3;7.0;8.12;14.0;8.71
são paulo;4.22;4.41;5.44;4.84;6.05;11.01;6.61
sul;3.2;3.53;4.14;3.68;5.26;10.43;5.85
paraná;4.63;5.04;6.58;5.26;7.3;17.8;8.14
santa catarina;7.61;8.0;10.21;8.55;14.54;25.69;15.18
rio grande do sul;5.2;5.91;6.19;5.98;8.74;14.86;10.21
centro-oeste;3.19;3.85;4.05;4.19;4.01;8.67;4.24
mato grosso do sul;7.2;7.52;10.03;10.33;9.2;19.75;9.53
mato grosso;7.06;9.16;8.75;8.77;8.6;17.65;9.43
goiás;5.01;6.04;6.22;6.56;6.19;13.47;6.46
distrito federal;6.48;7.86;8.37;8.6;7.78;17.84;8.51
