;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
               brasil;0;2.44;2.37;2.46;3.24;3.93
urbana;0;2.63;2.47;2.55;3.41;4.16
rural;0;6.38;8.08;9.1;11.27;13.14
norte;0;5.99;6.91;5.7;8.07;11.42
rondônia;0;16.97;11.89;17.31;17.07;21.62
acre;0;13.44;20.4;17.5;41.42;18.39
amazonas;0;15.01;17.03;15.31;23.99;34.46
roraima;0;21.76;24.79;20.5;44.72;39.67
pará;0;9.68;12.73;8.39;11.61;20.99
amapá;0;16.37;23.47;22.53;43.6;44.13
tocantins;0;15.06;18.14;18.5;24.04;20.1
nordeste;0;4.83;4.31;4.87;5.81;7.29
maranhão;0;15.66;14.55;20.49;20.71;23.24
piauí;0;10.36;22.65;16.49;19.34;26.54
ceará;0;5.68;10.3;6.69;15.86;14.4
rio grande do norte;0;19.36;16.67;17.38;20.75;27.09
paraíba;0;16.97;15.43;15.53;27.56;38.9
pernambuco;0;10.14;7.8;10.04;11.1;21.85
alagoas;0;19.24;17.78;21.97;31.93;49.59
sergipe;0;12.25;13.58;14.79;25.37;40.59
bahia;0;6.83;7.61;10.07;8.36;10.63
sudeste;0;4.46;4.65;4.64;5.73;6.68
minas gerais;0;6.61;7.74;7.52;8.47;9.98
espírito santo;0;18.8;12.57;17.44;15.63;29.99
rio de janeiro;0;11.11;11.31;10.77;10.65;13.48
são paulo;0;7.0;7.01;6.92;11.31;10.84
sul;0;5.82;5.46;5.79;7.97;8.74
paraná;0;9.61;10.53;9.12;13.51;13.81
santa catarina;0;13.24;13.73;12.48;17.6;16.64
rio grande do sul;0;8.5;6.14;8.72;11.63;13.14
centro-oeste;0;5.3;5.2;6.15;9.13;9.7
mato grosso do sul;0;14.57;11.94;14.1;17.44;17.37
mato grosso;0;11.65;10.55;13.65;20.6;22.31
goiás;0;7.32;8.23;9.25;14.33;14.34
