nome_original;nome_arquivo_hash
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto,  no período de referência de 365 dias, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;0c9d10b0999f8b3e6ede6bb0ab89b1c4
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;ad77bdea96dab83b35fe7152d17e2a40
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;5c0da004d450c829a27347ab2565747c
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;d2c6c31bccde7e777a3d37cf27e5b82b
Coeficientes de variação das estimativas de distribuição pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;509f1f640fc0a1f1086ccb1f1b4e9c8b
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;0ecf7bfa6782828774c8c56f124bdcaa
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;9bb0cd46a8fdfe030c3f4a1dc044ec1d
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;18a8c633dedaaa1ece91fed7e6d6a304
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;fbb6f71af00f714af48ea0348d589728
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por tipo de bem furtado no último furto, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;f45b23460fefff469ea20d4e4c46b942
Coeficientes de variação das estimativas de percentual de pessoas que foram furtadas de cada tipo de bem no último furto, na população de 10 anos ou mais de idade que foi vítima de furto, no período de referência de 365 dias, por tipo de bem furtado no último furto, segundo a;f0074ba92f8058b3e6e19a6875db176d
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;cbfefba282683ba72b5e65ba962ec157
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;43279cb41315861912bc4916e42131fe
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por procura pela polícia em decorrência do último furto, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;862d3e342815230eec16f9883527c929
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por procura pela polícia em decorrência do último furto, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;6ae98b1d2ecb00b419b68786ee768baa
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo a situação do domicílio,;422978f176e7d948405d9366b55b3a1f
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo a situação do domicílio,;7e6b8f51fdc8efdf61399b111c643d14
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por realização do registro do último furto na delegacia de polícia, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;d2801205caebf8421f9dd76630effed9
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por realização do registro do último furto na delegacia de polícia, segundo a situação do domicílio,;2b709d1d5a85e958a9d21c6ec97fa36e
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por tipo de bem furtado no último furto, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;6b17540ef653ac563831a7149605ed45
Coeficientes de variação das estimativas de percentual de pessoas que foram furtadas de cada tipo de bem no último furto, na população de 10 anos ou mais de idade que foi vítima de furto, no período de  referência de 365 dias, por tipo de bem furtado no último furto, segundo o sexo, a cor ou raça, os grupos de idade,;503b9ca38fd3756e5c5f398f3e8ddbaf
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;732a96721b967e9fd798e4bee896ecd6
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo o sexo, a cor ou raça, os grupos de idade, o nível de instrução e as classes de rendimento mensal domiciliar per capita;9e791fe1454064e38b9cdcf98417f3e2
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo o sexo, a cor ou raça, os grupos de idade,;260b655e3047bc11a12841301cbaf3c6
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo o sexo, a cor ou raça,;eff989dd631f1079441ad688c35b1b74
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia, por motivo de não terem feito o registro do último furto na delegacia de polícia,;2293244a559f3d20b7bd5190c5135a3a
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia, por motivo de não terem feito o registro do último furto na delegacia de polícia,;e1a4973e5e73da111bf9c6d7b050e5fe
Coeficientes de variação das estimativas de  pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;bdd48ecbb06f5d8b3ca3f12e2a512b8f
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;6b9890a317f76e51a36778bf940357ff
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;c38ef0de0cbea1016e0450dddeaef880
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;8a6a2097856ed1e80148164e68f28c7d
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;c17c7124bb757d08e4b85083399902fc
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;1cfd389b332879a1b6c02b30697087fb
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que foram vítimas de furto, no período de referência de 365 dias, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;a4fb61d62d460c0c4648589c1c68015b
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que foram vítimas de furto, no período de referência de 365 dias, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;01ada453215d555a2e1121f42da107fe
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, ocupada na semana de referência, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;359953ddbb2328c263477f93c31a2094
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que foram vítimas de furto, no período de referência de 365 dias, por grupamentos de atividade do trabalho principal, segundo as Grandes Regiões;774806e2f6df52d33e35167e34e2cfda
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que foram vítimas de furto, no período de referência de 365 dias, por grupamentos de atividade do trabalho principal, segundo as Grandes Regiões;7df47a06e915d353a5028761cbd2c22c
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, ocupada na semana de referência, por grupamentos de atividade do trabalho principal, segundo as Grandes Regiões;d8a5d722300a0c6d8e980f42c686cdbd
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e o tipo de bem furtado no último furto;b063544e57493bb7c9a01db7b827f05f
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e o tipo de bem furtado no último furto;429cfe544816a4c6482e78851e3f4b20
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e o nível de instrução;788d4669be8d85fe44d7d6c014ce7a43
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e o nível de instrução;ad4a0c37fdb75183431d379200f8396d
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e as classes de rendimento mensal domiciliar per capita;962fc0a9dcd7bff6a88dbbdbffa2329d
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por local de ocorrência do último furto, segundo as Grandes Regiões e as classes de rendimento mensal domiciliar per capita;1fb461ca0e3c94fa17f3059a9217002a
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo as Grandes Regiões e o tipo de bem furtado no último furto;ce452e07f263be47a995ad8a2345a8d3
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo as Grandes Regiões e o tipo de bem furtado no último furto;8f560fa1a408578564bf6e53f6c5e7fb
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, por motivo de não terem procurado a polícia em decorrência do último furto, segundo as Grandes Regiões e as classes de rendimento mensal domiciliar per capita;ce2489e50c7cfa3d4388659376a31f92
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por sexo e cor ou raça, segundo algumas Unidades da Federação e Regiões Metropolitanas;9fc37f69e690d24cc245e2438f65af5f
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por sexo e cor ou raça, segundo algumas Unidades da Federação e Regiões Metropolitanas;91be418af58b04025734faf91e801ee9
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por sexo e cor ou raça, segundo algumas Unidades da Federação e Regiões Metropolitanas;0862877b2c51bf51a01ea0796d4e5f41
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por grupos de idade, segundo algumas Unidades da Federação e Regiões Metropolitanas;64014aae33af401f2c5bee9738027eb5
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por grupos de idade, segundo algumas Unidades da Federação e Regiões Metropolitanas;e52aa28abd3b7dea20def20fb6eca0a6
Coeficientes de variação das estimativas de percentual de pessoas que foram vítimas de furto, no período de referência de 365 dias, na população de 10 anos ou mais de idade, por grupos de idade, segundo algumas Unidades da Federação e Regiões Metropolitanas;f8d9f53f2b6d16ede7ad957cb211185c
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por nível de instrução, segundo algumas Unidades da Federação e Regiões Metropolitanas;bce28fb2826fd9bcc3d715caadfa138b
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de furto, no período de referência de 365 dias, por nível de instrução, segundo algumas Unidades da Federação e Regiões Metropolitanas;fc710e2c39056ceca4712f303bd6ffd7
