;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;1.71;2.03;4.88;2.53;4.36;6.75
urbana;1.84;2.12;5.07;2.84;4.47;6.97
rural;5.32;7.76;21.28;6.83;17.19;12.2
norte;4.46;5.35;11.33;7.11;10.18;12.9
rondônia;10.38;11.44;25.87;15.09;27.05;25.83
acre;7.65;10.12;21.06;15.86;41.27;25.9
amazonas;11.9;15.8;37.04;13.02;33.89;34.76
roraima;10.82;12.59;35.88;25.7;60.12;71.53
pará;7.81;8.94;21.23;12.24;14.71;22.17
amapá;14.79;19.64;35.97;19.78;47.7;71.8
tocantins;13.29;20.44;27.1;15.59;25.22;17.18
nordeste;4.15;4.86;11.36;4.54;9.42;12.61
maranhão;19.56;25.56;37.7;13.4;31.59;43.78
piauí;12.2;15.4;49.06;18.93;29.39;17.54
ceará;8.07;10.16;19.18;9.32;19.84;21.98
rio grande do norte;12.06;12.64;43.75;21.95;31.03;27.19
paraíba;11.91;15.89;35.8;16.42;43.54;38.22
pernambuco;6.98;8.95;20.94;12.38;28.61;27.59
alagoas;12.11;16.02;56.32;23.7;32.6;11.98
sergipe;11.07;11.38;38.07;24.34;28.04;46.57
bahia;5.93;7.52;16.58;7.2;19.78;19.51
sudeste;2.91;3.39;9.09;5.06;7.89;13.84
minas gerais;5.11;6.31;16.68;6.66;10.54;16.58
espírito santo;11.57;13.73;36.31;16.3;29.33;38.85
rio de janeiro;6.68;7.71;18.93;11.71;23.39;
são paulo;4.3;4.81;13.92;8.9;13.25;24.68
sul;3.47;4.56;10.04;5.34;8.91;13.13
paraná;4.95;6.79;15.74;8.3;13.34;27.47
santa catarina;7.27;9.99;30.1;12.29;18.99;23.28
rio grande do sul;6.14;7.68;13.88;8.32;15.16;18.76
centro-oeste;3.47;4.18;9.53;6.43;9.87;17.03
mato grosso do sul;7.43;10.75;18.97;13.52;16.22;31.31
mato grosso;8.07;8.91;20.0;15.1;25.25;32.49
goiás;5.32;6.27;15.19;9.34;17.02;26.92
