;total;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
brasil (1);0;1.23;2.71;1.94;4.66;3.29
sem instrução;0;2.25;12.78;8.0;21.14;13.85
fundamental incompleto ou equivalente;0;1.69;5.15;3.87;8.33;5.2
fundamental completo ou equivalente;0;3.28;7.48;5.33;13.09;9.92
médio incompleto ou equivalente;0;4.2;8.65;5.03;13.94;9.64
médio completo ou equivalente;0;2.38;4.69;3.12;8.2;7.31
superior incompleto ou equivalente;0;5.58;9.85;4.97;11.68;12.71
superior completo ou equivalente;0;4.03;7.46;4.24;14.64;9.14
norte (1);0;2.28;7.52;5.83;14.49;8.86
sem instrução;0;3.73;34.27;24.56;74.53;74.8
fundamental incompleto ou equivalente;0;4.12;13.18;13.23;23.3;14.13
fundamental completo ou equivalente;0;6.57;18.64;16.62;27.86;20.93
médio incompleto ou equivalente;0;8.06;26.93;12.52;50.02;18.07
médio completo ou equivalente;0;4.09;14.03;9.58;25.32;18.31
superior incompleto ou equivalente;0;9.79;32.04;18.77;41.5;28.07
superior completo ou equivalente;0;7.6;26.31;16.67;49.5;26.9
nordeste (1);0;2.37;5.46;4.05;8.61;5.62
sem instrução;0;3.01;19.31;10.77;42.9;18.31
fundamental incompleto ou equivalente;0;3.84;9.68;7.51;14.75;10.39
fundamental completo ou equivalente;0;5.93;14.98;11.45;21.99;17.59
médio incompleto ou equivalente;0;8.0;15.17;9.97;29.34;20.51
médio completo ou equivalente;0;4.81;9.29;6.19;13.03;13.2
superior incompleto ou equivalente;0;12.77;20.14;10.74;21.74;23.96
superior completo ou equivalente;0;7.67;13.81;9.49;27.56;19.47
sudeste (1);0;2.55;4.66;2.97;8.42;5.94
sem instrução;0;5.96;31.11;13.17;39.61;32.2
fundamental incompleto ou equivalente;0;3.24;9.81;6.26;16.44;9.1
fundamental completo ou equivalente;0;6.85;12.77;7.69;30.11;20.38
médio incompleto ou equivalente;0;9.37;16.06;8.01;24.9;15.5
médio completo ou equivalente;0;5.14;7.78;4.91;14.75;12.69
superior incompleto ou equivalente;0;11.6;16.47;7.29;20.11;23.28
superior completo ou equivalente;0;7.56;12.42;5.78;24.99;15.11
sul (1);0;2.63;6.48;4.66;11.45;8.37
sem instrução;0;8.0;33.48;34.12;50.18;32.61
fundamental incompleto ou equivalente;0;3.02;13.22;9.03;22.11;12.1
fundamental completo ou equivalente;0;6.17;17.83;12.88;30.09;21.46
médio incompleto ou equivalente;0;9.06;20.06;13.06;41.56;35.04
médio completo ou equivalente;0;4.57;11.19;7.73;23.12;19.46
superior incompleto ou equivalente;0;9.13;20.42;11.88;25.09;32.74
superior completo ou equivalente;0;7.58;14.88;10.23;32.41;19.32
centro-oeste (1);0;2.86;6.25;4.86;9.84;7.83
sem instrução;0;5.14;34.33;42.07;33.43;43.61
fundamental incompleto ou equivalente;0;3.95;10.54;9.1;15.72;11.48
fundamental completo ou equivalente;0;8.6;17.65;14.4;29.01;24.9
médio incompleto ou equivalente;0;8.71;21.82;12.56;20.04;20.67
médio completo ou equivalente;0;5.44;10.28;8.48;16.08;15.61
superior incompleto ou equivalente;0;13.03;22.74;11.95;23.2;27.17
superior completo ou equivalente;0;8.79;17.53;11.35;28.79;17.67
