;total (1);homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.0;0.83;1.01;1.3;1.3;3.86;1.39
urbana;0.0;0.87;1.02;1.35;1.39;4.08;1.49
rural;0.0;2.05;4.57;4.95;3.51;12.42;4.24
norte;0.0;2.14;2.44;5.72;1.96;10.59;2.37
rondônia;0.0;4.95;5.67;8.14;4.22;20.6;4.55
acre;0.0;5.31;5.9;7.29;3.34;29.31;3.88
amazonas;0.0;6.38;6.09;12.62;3.85;34.98;3.51
roraima;0.0;8.58;7.18;15.75;5.75;30.9;7.44
pará;0.0;3.5;4.3;12.01;3.71;19.15;4.69
amapá;0.0;9.16;9.38;18.23;5.73;27.15;6.93
tocantins;0.0;4.49;5.78;14.39;4.34;18.88;3.94
nordeste;0.0;1.65;1.95;3.51;1.49;6.78;1.76
maranhão;0.0;5.89;5.85;14.22;3.6;27.13;5.41
piauí;0.0;5.53;7.62;9.05;3.99;23.88;4.41
ceará;0.0;2.91;3.95;7.12;3.03;26.86;3.35
rio grande do norte;0.0;5.99;7.97;9.32;6.89;25.31;6.82
paraíba;0.0;7.38;6.28;11.34;7.1;24.01;7.95
pernambuco;0.0;3.45;4.1;5.39;3.69;16.8;4.15
alagoas;0.0;7.4;9.67;14.42;9.35;30.83;9.64
sergipe;0.0;5.65;8.56;12.56;5.9;26.53;5.74
bahia;0.0;2.74;3.0;6.75;2.0;6.36;3.18
sudeste;0.0;1.52;1.8;1.82;2.51;6.54;2.72
minas gerais;0.0;2.52;2.95;3.5;2.65;9.83;3.01
espírito santo;0.0;6.03;7.24;7.92;6.73;18.17;7.72
rio de janeiro;0.0;3.73;4.08;4.02;5.94;12.55;7.08
são paulo;0.0;2.29;2.76;2.43;4.92;11.7;5.36
sul;0.0;1.67;2.46;1.48;5.12;10.95;5.64
paraná;0.0;2.83;4.0;2.5;6.79;19.31;7.49
santa catarina;0.0;3.4;6.07;3.07;12.52;24.13;13.6
rio grande do sul;0.0;2.57;3.58;2.19;9.08;15.88;10.12
centro-oeste;0.0;2.15;2.58;3.19;2.43;9.08;2.63
mato grosso do sul;0.0;4.64;5.8;7.07;7.41;24.37;7.99
mato grosso;0.0;5.29;6.32;7.66;5.64;18.63;6.18
goiás;0.0;3.15;3.89;4.81;3.07;13.46;3.28
distrito federal;0.0;4.87;5.07;5.88;5.52;18.8;6.31
