;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.58;0.69;4.18;1.84
urbana;0.0;0.62;0.73;4.22;1.91
rural;0.0;1.65;1.8;21.91;7.09
norte;0.0;1.31;1.64;9.8;4.01
rondônia;0.0;2.62;3.58;28.97;8.96
acre;0.0;3.94;6.17;46.14;10.39
amazonas;0.0;3.4;3.7;20.6;11.14
roraima;0.0;5.11;7.06;28.73;12.24
pará;0.0;2.28;2.81;16.02;6.71
amapá;0.0;5.35;6.39;34.63;15.61
tocantins;0.0;2.55;2.93;28.5;9.86
nordeste;0.0;1.31;1.55;6.97;3.79
maranhão;0.0;5.89;7.08;22.45;13.59
piauí;0.0;3.74;3.41;61.16;11.81
ceará;0.0;2.33;2.72;14.32;7.67
rio grande do norte;0.0;4.15;4.67;18.88;12.13
paraíba;0.0;4.57;4.92;27.78;12.33
pernambuco;0.0;2.86;3.65;18.28;6.95
alagoas;0.0;4.94;5.03;26.63;15.08
sergipe;0.0;3.89;3.41;30.5;10.94
bahia;0.0;1.86;2.39;12.24;6.27
sudeste;0.0;1.01;1.21;7.73;3.15
minas gerais;0.0;1.59;1.98;12.18;5.03
espírito santo;0.0;3.94;5.05;25.8;12.39
rio de janeiro;0.0;2.85;3.18;20.27;6.67
são paulo;0.0;1.5;1.8;11.37;5.03
sul;0.0;1.27;1.58;11.1;4.57
paraná;0.0;1.94;2.24;16.73;7.24
santa catarina;0.0;2.4;2.61;30.19;10.15
rio grande do sul;0.0;2.26;3.08;17.05;7.19
centro-oeste;0.0;1.29;1.44;9.38;4.78
mato grosso do sul;0.0;2.56;3.13;19.82;9.16
mato grosso;0.0;2.61;3.03;23.67;8.37
goiás;0.0;2.13;2.29;14.74;8.8
