;Total (1);Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.0;0.83;1.01;1.3;1.3;3.86;1.39
Situação do domicílio;;;;;;;
Urbana;0.0;0.87;1.02;1.35;1.39;4.08;1.49
Rural;0.0;2.05;4.57;4.95;3.51;12.42;4.24
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;2.14;2.44;5.72;1.96;10.59;2.37
Rondônia;0.0;4.95;5.67;8.14;4.22;20.6;4.55
Acre;0.0;5.31;5.9;7.29;3.34;29.31;3.88
Amazonas;0.0;6.38;6.09;12.62;3.85;34.98;3.51
Roraima;0.0;8.58;7.18;15.75;5.75;30.9;7.44
Pará;0.0;3.5;4.3;12.01;3.71;19.15;4.69
Amapá;0.0;9.16;9.38;18.23;5.73;27.15;6.93
Tocantins;0.0;4.49;5.78;14.39;4.34;18.88;3.94
Nordeste;0.0;1.65;1.95;3.51;1.49;6.78;1.76
Maranhão;0.0;5.89;5.85;14.22;3.6;27.13;5.41
Piauí;0.0;5.53;7.62;9.05;3.99;23.88;4.41
Ceará;0.0;2.91;3.95;7.12;3.03;26.86;3.35
Rio Grande do Norte;0.0;5.99;7.97;9.32;6.89;25.31;6.82
Paraíba;0.0;7.38;6.28;11.34;7.1;24.01;7.95
Pernambuco;0.0;3.45;4.1;5.39;3.69;16.8;4.15
Alagoas;0.0;7.4;9.67;14.42;9.35;30.83;9.64
Sergipe;0.0;5.65;8.56;12.56;5.9;26.53;5.74
Bahia;0.0;2.74;3.0;6.75;2.0;6.36;3.18
Sudeste;0.0;1.52;1.8;1.82;2.51;6.54;2.72
Minas Gerais;0.0;2.52;2.95;3.5;2.65;9.83;3.01
Espírito Santo;0.0;6.03;7.24;7.92;6.73;18.17;7.72
Rio de Janeiro;0.0;3.73;4.08;4.02;5.94;12.55;7.08
São Paulo;0.0;2.29;2.76;2.43;4.92;11.7;5.36
Sul;0.0;1.67;2.46;1.48;5.12;10.95;5.64
Paraná;0.0;2.83;4.0;2.5;6.79;19.31;7.49
Santa Catarina;0.0;3.4;6.07;3.07;12.52;24.13;13.6
Rio Grande do Sul;0.0;2.57;3.58;2.19;9.08;15.88;10.12
Centro-Oeste;0.0;2.15;2.58;3.19;2.43;9.08;2.63
Mato Grosso do Sul;0.0;4.64;5.8;7.07;7.41;24.37;7.99
Mato Grosso;0.0;5.29;6.32;7.66;5.64;18.63;6.18
Goiás;0.0;3.15;3.89;4.81;3.07;13.46;3.28
Distrito Federal;0.0;4.87;5.07;5.88;5.52;18.8;6.31
