;total(1);sexo;sexo;cor ou raça;cor ou raça;cor ou raça;cor ou raça
;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.6252686846937718;1.6999229544793821;2.0435932010459816;2.00215962043746;2.085742731523052;3.993682889147623;2.1538745861747994
urbana;1.5919179326661685;1.7205208087125456;1.9883507031415824;2.0164022848857095;2.027038184233929;4.084705967468605;2.0836074388465695
rural;4.599411904495814;4.681991369697231;7.003150065469248;6.720037753202106;5.609696049435627;12.383290295704438;6.132392475112795
norte;4.15578499805456;4.520289113183108;4.879121172594313;7.2745776924651;4.308257474121989;9.233275425254856;4.587094154782425
rondônia;8.942614033714337;10.031077085927217;11.210544526467999;12.614827643616565;8.944934449673363;20.94434425670015;9.416578556195464
acre;10.614807742015982;11.749188763134455;11.381012028547007;13.641554139783853;10.745261866107949;21.771577526975687;11.295127630171185
amazonas;11.472449437956854;11.196023602495513;14.315948353660836;16.887214427593342;11.573293364778912;30.769595620154977;11.66218343406183
roraima;10.483307105703647;13.683621526313855;11.808597957678485;18.2646420521972;10.383332523827415;27.14402268270395;11.653005409887399
pará;7.215631707759275;7.822985646892949;8.42674002187693;14.857046315218055;7.274548710624861;15.558975127624652;8.005677666074114
amapá;13.541082931346395;18.288720440800702;13.987318152159117;20.737589551886202;14.443446813231283;27.02461238449792;15.135514539776196
tocantins;11.691731936030758;11.285902244736198;14.324703110444773;17.6795749542984;13.437423325612905;23.381399662562625;12.085184767188844
nordeste;3.8748193335290066;3.7509539425643594;4.806785031716396;4.274913140241028;4.396482064611833;7.8222524587223505;4.445249730785116
maranhão;17.621000636636282;16.469841825037538;20.465695180172666;18.65960283153724;18.156795691348865;31.732326944618215;17.77110227604993
piauí;13.131550786116447;12.656857205623929;17.074626139818275;14.790636295120418;13.200325798371177;28.356011993901003;13.672978161127018
ceará;7.138117621389976;7.785906230140216;7.832563681288336;9.047481564223052;7.811871851090318;25.8039246706086;7.493558473192287
rio grande do norte;10.773316247310873;12.403975816565833;13.12907379609062;15.278270583063774;10.942761214556116;22.812036297296032;12.161105772582147
paraíba;11.632331728813368;13.901200624429482;13.368778131384888;15.385786229275563;14.628202680771485;29.167313025008305;14.832814202627128
pernambuco;6.039061055031328;6.504734589472588;7.99017703456885;7.760575554690168;7.252806927382609;16.260971027621473;7.792870893010223
alagoas;10.749172224258942;11.52549695122753;16.20053237858162;17.98274153098281;11.079185301889083;34.147506473252776;11.68450227467096
sergipe;9.213847890363311;11.104376887113494;12.338660803888791;12.472184292587263;10.570778425052632;21.612627971101244;10.931780936186557
bahia;5.681499843487578;6.010395323438881;6.67146394968117;9.161137828568496;5.656511694921294;6.978476954428421;7.020004529954925
sudeste;2.7995102272858046;3.009681039344133;3.5080274061709398;3.4339666897206045;3.5030765793017578;6.530765897239392;3.7143540614215307
minas gerais;4.961407899082059;5.424746863695845;5.895536309044378;6.5419126581338345;5.406170288296547;10.536074290761734;5.507449136975112
espírito santo;10.302880302382029;13.000623488021855;11.703440044270323;13.83316898024225;11.408031500293863;21.72300612281039;11.563997007643374
rio de janeiro;5.707334189898313;6.57581098849636;7.304144380023838;6.999063938698338;8.116957318212194;14.001034207481082;8.711798818952992
são paulo;4.224262035630449;4.408296525972233;5.442333693934446;4.842519572781414;6.049618426802292;11.013068457636322;6.611541561916603
sul;3.1977902737054014;3.5277522622621174;4.143345275475886;3.6808138398502863;5.260655111186963;10.429483465213364;5.8450061298064355
paraná;4.632253348583405;5.03748078832679;6.581098161011903;5.259036528513422;7.298596509218367;17.802716968150378;8.137520706794751
santa catarina;7.612748349057986;7.999177257237497;10.206718185038948;8.549533409600711;14.543727155908545;25.6864767311974;15.179542053475855
rio grande do sul;5.199608946392152;5.912773734257211;6.189250458884717;5.982922377747031;8.738991865490917;14.859442005142274;10.21038132889729
centro-oeste;3.194471667231749;3.8484411761468222;4.048021528543506;4.193015537534051;4.012439149422382;8.67345200132556;4.23623748363248
mato grosso do sul;7.195084260177779;7.516248183280928;10.034884834187388;10.332826318718142;9.195002176746586;19.75251921550737;9.526785237674487
mato grosso;7.055630334909741;9.159966961415256;8.752063883930518;8.770618200662934;8.59672345040156;17.645035980615;9.427817531943838
goiás;5.007966195380185;6.035066392233822;6.216814944581747;6.55741867498959;6.194938424304308;13.468993983943365;6.460567725264269
distrito federal;6.475632813483244;7.861451813344273;8.369534639821694;8.595502368428777;7.784157492630908;17.839028821811453;8.511332785291504
