;total;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade
;unnamed: 1_level_1;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 anos ou mais
               brasil;0.0;4.18;2.26;1.88;1.53;1.85
situação do domicílio;;;;;;
urbana;0.0;4.33;2.33;1.92;1.58;1.97
rural;0.0;15.49;9.58;7.95;5.58;4.87
grandes regiões e unidades da federação;;;;;;
norte;0.0;9.97;5.65;5.12;3.58;4.2
rondônia;0.0;18.84;9.94;11.08;8.07;10.53
acre;0.0;25.25;22.6;8.11;9.43;17.64
amazonas;0.0;24.68;11.73;12.17;10.01;12.93
roraima;0.0;25.3;10.41;10.98;12.61;24.58
pará;0.0;16.56;10.03;9.6;6.21;5.95
amapá;0.0;36.81;20.1;14.38;15.86;21.61
tocantins;0.0;33.51;15.92;12.25;6.64;7.88
nordeste;0.0;8.71;4.21;3.49;2.83;3.76
maranhão;0.0;23.88;16.74;8.44;10.07;12.75
piauí;0.0;32.23;21.8;13.11;10.07;15.12
ceará;0.0;16.55;7.89;10.02;5.3;8.74
rio grande do norte;0.0;23.37;16.69;13.94;11.47;10.35
paraíba;0.0;37.64;18.78;14.34;12.36;19.27
pernambuco;0.0;18.73;7.54;7.51;6.53;7.32
alagoas;0.0;98.55;15.62;16.22;14.29;16.04
sergipe;0.0;29.2;10.96;12.94;10.93;13.04
bahia;0.0;15.65;7.12;6.54;4.86;6.24
sudeste;0.0;7.11;4.25;3.54;2.92;3.23
minas gerais;0.0;9.9;6.53;6.12;4.46;5.27
espírito santo;0.0;21.41;16.15;11.03;9.52;13.1
rio de janeiro;0.0;19.67;10.06;7.84;7.2;7.13
são paulo;0.0;11.16;6.42;5.38;4.56;5.08
sul;0.0;10.57;5.51;4.24;3.57;3.99
paraná;0.0;19.64;9.39;6.8;5.55;7.17
santa catarina;0.0;19.31;13.04;10.13;8.0;9.05
rio grande do sul;0.0;15.45;7.73;6.34;5.6;5.53
centro-oeste;0.0;9.9;4.33;4.07;3.69;4.61
mato grosso do sul;0.0;18.52;9.25;9.28;9.58;11.47
mato grosso;0.0;20.26;9.71;8.62;8.4;10.6
goiás;0.0;17.04;6.62;5.99;5.56;6.78
