;Total;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade
;;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 anos ou mais
               Brasil;1.63;4.59;2.71;2.53;2.2;2.28
Situação do domicílio;;;;;;
Urbana;1.59;4.71;2.72;2.52;2.24;2.36
Rural;4.6;15.58;10.86;9.83;6.88;6.22
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.16;10.3;6.91;6.66;5.51;5.52
Rondônia;8.94;21.61;13.95;13.64;10.39;14.76
Acre;10.61;30.73;29.7;11.77;11.08;12.42
Amazonas;11.47;31.03;16.57;13.52;15.55;15.09
Roraima;10.48;29.23;15.12;13.18;16.84;25.97
Pará;7.22;15.66;11.09;13.0;9.72;8.92
Amapá;13.54;36.09;28.46;16.85;21.64;20.99
Tocantins;11.69;27.78;22.24;13.3;15.43;13.94
Nordeste;3.87;10.13;5.71;5.48;4.33;4.97
Maranhão;17.62;32.72;24.07;21.66;18.01;18.69
Piauí;13.13;35.02;20.53;13.28;14.71;22.94
Ceará;7.14;18.51;11.5;13.55;6.9;9.73
Rio Grande do Norte;10.77;23.07;17.78;17.01;17.03;15.74
Paraíba;11.63;37.71;25.8;18.34;16.11;19.04
Pernambuco;6.04;19.87;9.35;9.3;9.27;9.65
Alagoas;10.75;98.96;18.15;16.47;18.11;19.5
Sergipe;9.21;22.81;11.98;18.38;13.08;16.76
Bahia;5.68;16.15;10.1;8.79;6.67;8.17
Sudeste;2.8;7.79;4.93;4.48;4.28;3.83
Minas Gerais;4.96;12.37;7.47;8.74;7.06;5.59
Espírito Santo;10.3;23.49;18.6;13.95;14.02;15.57
Rio de Janeiro;5.71;19.81;11.41;9.19;9.28;9.35
São Paulo;4.22;11.89;7.52;6.52;6.6;6.12
Sul;3.2;10.95;5.98;5.61;4.51;5.08
Paraná;4.63;20.19;10.27;7.86;7.08;8.43
Santa Catarina;7.61;20.02;12.98;13.93;11.12;11.83
Rio Grande do Sul;5.2;16.24;8.8;9.12;6.59;7.52
Centro-Oeste;3.19;10.21;5.22;5.06;4.94;5.39
Mato Grosso do Sul;7.2;19.21;11.9;11.22;12.68;12.33
Mato Grosso;7.06;22.29;11.25;12.15;9.4;12.7
Goiás;5.01;16.94;7.97;7.13;8.1;8.02
