;total(1);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo)
;unnamed: 1_level_1;sem rendimento a menos de 1/4 (2);1/4 a menosde 1/2;1/2 a menosde 1;1 a menosde 2;2 ou mais
               brasil;1.64;4.65;3.42;2.62;2.36;2.81
situação do domicílio;;;;;;
urbana;1.76;5.1;3.8;2.81;2.44;2.91
rural;4.97;10.1;8.13;8.17;8.43;10.63
grandes regiões e unidades da federação;;;;;;
norte;4.25;9.17;7.59;6.04;5.68;7.17
rondônia;9.42;30.21;22.14;16.8;13.33;14.6
acre;10.25;28.25;24.73;16.12;13.76;19.37
amazonas;11.62;25.25;25.65;14.41;14.5;17.67
roraima;10.37;31.93;25.77;19.0;20.41;25.49
pará;7.41;12.91;10.96;10.25;10.29;15.22
amapá;13.63;45.26;29.87;14.24;25.53;26.5
tocantins;11.66;30.46;19.16;17.42;12.54;19.44
nordeste;3.95;7.49;5.84;5.03;6.35;6.51
maranhão;18.44;29.95;19.77;20.96;28.15;21.37
piauí;13.25;19.45;21.47;19.44;24.61;24.72
ceará;6.84;12.85;9.76;9.71;11.06;14.39
rio grande do norte;10.8;25.36;18.29;14.76;18.14;25.62
paraíba;11.57;29.97;28.88;20.69;26.37;31.46
pernambuco;6.01;15.7;12.97;9.43;12.42;15.5
alagoas;11.12;21.81;17.74;20.98;20.8;32.47
sergipe;9.41;22.74;13.36;16.09;10.82;21.56
bahia;5.71;10.25;10.51;8.57;8.93;11.47
sudeste;2.8;9.47;7.4;5.2;3.83;4.67
minas gerais;4.96;13.4;11.48;8.39;6.05;7.08
espírito santo;10.32;28.27;17.14;16.62;15.01;19.82
rio de janeiro;5.7;24.22;16.21;10.9;9.94;9.5
são paulo;4.24;17.69;13.95;8.33;5.72;7.09
sul;3.22;13.34;8.21;5.85;5.14;5.4
paraná;4.72;18.66;14.63;8.58;8.64;8.34
santa catarina;7.5;41.41;22.95;14.25;10.7;12.25
rio grande do sul;5.25;19.45;10.66;9.44;7.91;8.5
centro-oeste;3.17;14.31;8.47;5.75;4.87;6.04
mato grosso do sul;7.33;31.46;17.82;10.87;10.11;15.51
mato grosso;7.05;28.08;21.54;13.86;9.69;12.76
goiás;4.87;23.07;11.24;8.94;7.52;10.47
distrito federal;6.54;32.34;32.49;11.86;12.99;10.9
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
