;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Sem rendimento a 
menos de 1/4 (2)";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais 
               Brasil;0.0;4.2;2.98;1.95;1.81;2.28
Situação do domicílio;;;;;;
Urbana;0.0;4.61;3.3;2.06;1.85;2.32
Rural;0.0;8.9;6.75;5.8;6.86;10.24
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;8.47;5.8;3.63;4.09;6.26
Rondônia;0.0;29.41;18.41;9.93;12.53;14.92
Acre;0.0;23.03;18.11;9.9;18.5;18.83
Amazonas;0.0;24.35;17.8;9.4;10.74;16.86
Roraima;0.0;29.65;20.98;17.39;19.21;24.62
Pará;0.0;11.87;8.66;5.79;5.67;12.45
Amapá;0.0;46.44;21.76;12.92;19.96;22.53
Tocantins;0.0;26.23;15.76;10.47;11.51;13.28
Nordeste;0.0;5.7;4.12;3.42;4.69;5.9
Maranhão;0.0;18.43;11.24;11.35;19.16;18.02
Piauí;0.0;19.87;21.43;14.73;15.3;19.61
Ceará;0.0;9.92;7.19;6.14;9.37;13.44
Rio Grande do Norte;0.0;21.93;14.36;12.1;15.61;22.0
Paraíba;0.0;30.73;28.16;16.29;22.1;28.33
Pernambuco;0.0;14.6;10.52;7.83;11.21;14.2
Alagoas;0.0;20.62;18.53;17.9;16.2;27.42
Sergipe;0.0;17.47;10.39;11.58;11.4;19.91
Bahia;0.0;9.73;8.03;6.81;6.64;9.38
Sudeste;0.0;9.17;7.06;3.99;3.1;3.39
Minas Gerais;0.0;11.84;10.44;5.4;4.67;5.53
Espírito Santo;0.0;28.07;16.65;13.87;11.14;13.88
Rio de Janeiro;0.0;23.48;16.04;9.66;7.64;7.25
São Paulo;0.0;17.68;13.47;6.64;4.77;4.93
Sul;0.0;12.91;8.19;5.03;3.55;4.11
Paraná;0.0;19.59;14.3;7.84;6.44;6.48
Santa Catarina;0.0;38.79;24.36;12.25;6.63;9.52
Rio Grande do Sul;0.0;18.15;10.36;7.74;5.25;6.19
Centro-Oeste;0.0;13.86;8.03;4.38;3.66;5.48
Mato Grosso do Sul;0.0;30.17;15.5;7.51;7.56;14.62
Mato Grosso;0.0;26.68;19.96;10.51;7.65;11.54
Goiás;0.0;22.55;11.12;6.74;5.34;9.73
Distrito Federal;0.0;31.87;32.19;11.25;11.62;7.19
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
