;total;procura pela polícia em decorrência do último furto;procura pela polícia em decorrência do último furto
;total;procuraram;não procuraram
               brasil;0.0;1.49;0.9
urbana;0.0;1.5;0.93
rural;0.0;5.93;2.54
norte;0.0;4.52;2.02
rondônia;0.0;8.93;6.75
acre;0.0;11.09;4.94
amazonas;0.0;10.72;5.59
roraima;0.0;8.72;6.84
pará;0.0;9.44;2.78
amapá;0.0;11.16;8.3
tocantins;0.0;10.52;5.66
nordeste;0.0;3.19;1.2
maranhão;0.0;10.42;3.62
piauí;0.0;10.89;4.68
ceará;0.0;6.35;2.3
rio grande do norte;0.0;11.43;4.7
paraíba;0.0;18.56;7.35
pernambuco;0.0;6.96;2.63
alagoas;0.0;19.63;4.12
sergipe;0.0;9.55;4.16
bahia;0.0;5.72;2.31
sudeste;0.0;2.4;1.84
minas gerais;0.0;4.48;3.55
espírito santo;0.0;8.97;5.96
rio de janeiro;0.0;6.19;3.08
são paulo;0.0;3.3;2.82
sul;0.0;3.06;2.23
paraná;0.0;4.95;3.63
santa catarina;0.0;5.41;4.47
rio grande do sul;0.0;5.31;3.59
centro-oeste;0.0;2.93;1.9
mato grosso do sul;0.0;6.74;3.88
mato grosso;0.0;7.33;4.35
goiás;0.0;4.52;2.71
