"Situação do domicílio,                                                    Grandes Regiões e 
Unidades da Federação ";Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
;Total;Motivo de não terem procurado a polícia em decorrência do último furto;Motivo de não terem procurado a polícia em decorrência do último furto.1;Motivo de não terem procurado a polícia em decorrência do último furto.2;Motivo de não terem procurado a polícia em decorrência do último furto.3;Motivo de não terem procurado a polícia em decorrência do último furto.4
               Brasil;1.92;3.32;2.98;3.06;3.81;4.15
Situação do domicílio;;;;;;
Urbana;2.01;3.52;3.1;3.22;4.01;4.4
Rural;5.91;8.66;10.71;9.47;13.25;14.27
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.93;8.24;8.79;6.31;9.38;13.04
Rondônia;8.84;21.62;15.01;16.85;19.45;22.86
Acre;13.24;24.46;14.41;17.52;51.44;18.44
Amazonas;13.34;19.07;24.59;18.55;27.2;37.0
Roraima;11.13;19.97;30.67;23.71;47.3;42.06
Pará;8.17;13.59;16.08;8.82;13.46;24.39
Amapá;17.29;20.77;35.59;23.89;47.98;47.09
Tocantins;12.84;17.32;23.89;22.92;26.63;25.5
Nordeste;4.34;7.23;5.52;6.38;7.55;7.4
Maranhão;19.81;26.36;21.57;29.11;30.64;23.88
Piauí;13.13;16.65;25.88;26.0;21.06;23.7
Ceará;8.31;9.38;14.01;8.47;20.46;15.4
Rio Grande do Norte;11.06;25.49;18.28;19.25;22.14;28.11
Paraíba;13.87;17.59;20.98;20.57;31.97;43.99
Pernambuco;6.73;13.64;10.45;10.19;13.38;22.57
Alagoas;12.82;25.07;22.41;24.14;34.18;47.09
Sergipe;8.4;14.02;17.51;15.76;29.51;38.27
Bahia;6.17;9.18;9.6;12.52;9.96;12.17
Sudeste;3.27;5.62;5.89;5.71;6.41;7.21
Minas Gerais;6.09;9.67;10.27;9.75;8.62;12.05
Espírito Santo;10.33;21.5;15.49;20.87;20.77;28.82
Rio de Janeiro;6.28;12.49;13.19;13.05;11.97;14.46
São Paulo;5.02;8.55;8.94;8.52;12.75;11.29
Sul;4.07;7.5;6.47;7.05;9.14;9.38
Paraná;5.71;11.42;11.27;10.15;15.29;15.67
Santa Catarina;9.67;14.81;16.41;18.17;20.87;16.4
Rio Grande do Sul;6.77;12.34;8.67;10.08;13.28;13.84
Centro-Oeste;3.67;6.64;6.45;7.18;9.47;10.28
Mato Grosso do Sul;8.27;16.6;16.02;16.06;17.81;19.26
Mato Grosso;9.17;15.37;11.61;19.09;21.26;23.7
Goiás;5.14;9.45;10.24;9.67;14.93;15.11
