;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
;total;motivo de não terem procurado a polícia em decorrência do último furto;motivo de não terem procurado a polícia em decorrência do último furto.1;motivo de não terem procurado a polícia em decorrência do último furto.2;motivo de não terem procurado a polícia em decorrência do último furto.3;motivo de não terem procurado a polícia em decorrência do último furto.4
               brasil;0.0;2.442928364173709;2.366781460938505;2.459666233335182;3.2437101940910926;3.9251171159688343
urbana;0.0;2.6329090025919015;2.473199359244653;2.547922837658208;3.4083286667478765;4.1553625065363615
rural;0.0;6.375085861657115;8.083702731282788;9.097609005763362;11.269849755507801;13.136933450276834
norte;0.0;5.991374631996111;6.913553543998343;5.695655289473949;8.06944073510981;11.419443163935403
rondônia;0.0;16.966985736009264;11.892918705679891;17.31120059339491;17.06998346690306;21.617146035486456
acre;0.0;13.438094471253464;20.401052263953222;17.495362478542077;41.4234057734985;18.386085710659465
amazonas;0.0;15.006344527726904;17.029233642327497;15.30736179479659;23.99255499184887;34.45537116913358
roraima;0.0;21.757913562902896;24.789293922725264;20.50245192425723;44.71504276797075;39.66892563073522
pará;0.0;9.680764415212083;12.733841303410902;8.391527873095429;11.609399619434084;20.994349862818602
amapá;0.0;16.370210184007366;23.46699404977113;22.534406032763272;43.59718860362918;44.133227690211335
tocantins;0.0;15.063321761717862;18.137954636568658;18.498558754971903;24.039433317729472;20.097547056734015
nordeste;0.0;4.833310126708788;4.312235019934318;4.87025514181937;5.811302173288751;7.287440946040875
maranhão;0.0;15.664341511580155;14.546010344044717;20.488320723485234;20.705036878746824;23.238938263837444
piauí;0.0;10.360636316342728;22.651642976766144;16.493938059822867;19.336126412669604;26.543941078951136
ceará;0.0;5.683487851988314;10.303208119252014;6.687918809325012;15.863740472825379;14.397945710260817
rio grande do norte;0.0;19.355113230442882;16.669545841677458;17.376288664106273;20.751312228668056;27.085718591233615
paraíba;0.0;16.97168690706013;15.428923909500584;15.528669799094825;27.56460711066536;38.902920011346446
pernambuco;0.0;10.14137370194147;7.800981702052873;10.041984382369153;11.098257863051385;21.848315069836417
alagoas;0.0;19.24246079168264;17.781895922835936;21.973389025400405;31.93137161022031;49.590043041418994
sergipe;0.0;12.251751322166168;13.583103377830028;14.789835981877957;25.366539512063433;40.590139960685455
bahia;0.0;6.832114350244145;7.614146597512018;10.069789674750242;8.36185139486032;10.627948659956653
sudeste;0.0;4.4584934142848045;4.652859130008762;4.643470576491446;5.733066327761974;6.677486592025885
minas gerais;0.0;6.607187480069046;7.743160173407217;7.515753504577258;8.46521325507452;9.979804660810627
espírito santo;0.0;18.80032698764636;12.572759393934744;17.440136468825482;15.632683968571783;29.988860140670056
rio de janeiro;0.0;11.111736620802517;11.307861453162369;10.76954216742691;10.647885798619425;13.476860891600298
são paulo;0.0;6.996747547718256;7.01175208058734;6.919991678011462;11.305283212519477;10.842179983335347
sul;0.0;5.822468573800889;5.459650144034602;5.794045910560769;7.968545321283076;8.74231194326109
paraná;0.0;9.61246468714265;10.529705020216777;9.117453581130718;13.512661668941078;13.80522571218298
santa catarina;0.0;13.235016595913441;13.7303603448562;12.476407697513768;17.601995160794424;16.64102218099591
rio grande do sul;0.0;8.501938372265386;6.135098423988454;8.721617653451062;11.6304841720491;13.141355211191057
centro-oeste;0.0;5.3013315876476685;5.196023194883076;6.1526603211614415;9.125734326713147;9.69580574420503
mato grosso do sul;0.0;14.56669317183671;11.93700260743877;14.098532758480909;17.437613083153728;17.372868665150428
mato grosso;0.0;11.651742435610624;10.551150469032402;13.647183956510245;20.60491462698503;22.311471547139238
goiás;0.0;7.319458871202344;8.227343208305776;9.254491777243667;14.332480140170935;14.337109751937374
