;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
;total;realização do registro do último furto na delegacia de polícia;realização do registro do último furto na delegacia de polícia.1
               brasil;0.0;0.5774075247142857;5.1054875380275515
urbana;0.0;0.5944968235848437;5.336969068031261
rural;0.0;2.347602568073199;17.000557413820978
norte;0.0;1.718324393314918;15.470618638169526
rondônia;0.0;2.903363733154745;44.289175670473256
acre;0.0;4.0600372693247735;26.70743627927272
amazonas;0.0;1.9110437477009723;57.90241899141543
roraima;0.0;4.479349245670178;72.7894252421404
pará;0.0;4.462441686433721;22.7430545405326
amapá;0.0;3.64149788446141;57.34113920903742
tocantins;0.0;5.122631974113025;47.24205042793125
nordeste;0.0;1.6690022276742273;8.903930464614042
maranhão;0.0;6.553472460465457;31.255022503758333
piauí;0.0;6.298930008732584;28.345185039296624
ceará;0.0;2.6418569297947148;11.546590807326762
rio grande do norte;0.0;5.579116705167273;27.895583525836376
paraíba;0.0;11.299226965429094;36.1575262893731
pernambuco;0.0;4.860189668514736;36.71219572155164
alagoas;0.0;12.051530027702157;32.71129578947728
sergipe;0.0;5.282807905926111;16.435402373992343
bahia;0.0;1.9222062499040973;20.1958165058542
sudeste;0.0;0.8463668268567697;9.870601281053942
minas gerais;0.0;1.3333261809775943;16.826463611626476
espírito santo;0.0;4.618145742773253;34.25124759223496
rio de janeiro;0.0;2.1092535399992216;24.725453729941076
são paulo;0.0;1.2362952018855293;14.443873775202844
sul;0.0;1.1555494744886277;12.757298154269373
paraná;0.0;1.7439145640422211;17.93260386142301
santa catarina;0.0;2.962798203994318;28.408006308886698
rio grande do sul;0.0;1.6701180958559338;21.93514715305957
centro-oeste;0.0;1.7603118493630188;11.150859757373777
mato grosso do sul;0.0;2.01418638229962;30.212795734494296
mato grosso;0.0;5.15243297578534;21.640218498298424
goiás;0.0;3.1676767065218066;14.989898700504975
