;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%)
;total;motivo de não terem feito o registro do último furto na delegacia de polícia;motivo de não terem feito o registro do último furto na delegacia de polícia.1;motivo de não terem feito o registro do último furto na delegacia de polícia.2;motivo de não terem feito o registro do último furto na delegacia de polícia.3;motivo de não terem feito o registro do último furto na delegacia de polícia.4;motivo de não terem feito o registro do último furto na delegacia de polícia.5
total (1);5.387403382729794;11.77063262412606;16.067609783508846;13.30209344255814;14.63828629990292;10.326054480229;12.00031395376143
sexo;;;;;;;
homens;7.2715776382173205;16.533104052666072;21.85371383176248;18.025050527136326;20.62909680823876;12.883544192010637;16.454226383804965
mulheres;7.294352927788966;17.261973427001784;22.56907225174616;19.303544037279362;19.19372751786775;15.042394785234281;15.102167365390944
cor ou raça;;;;;;;
branca;7.5490210177861785;15.904185019597618;21.15296540165263;20.140411677726448;22.739068767587163;15.50021224880463;15.94737500675959
preta ou parda;7.057099679758583;16.11745971058428;23.111445700925696;17.725706568115555;19.05906044136092;13.858173046723612;15.69479699080041
preta;18.09615776116077;59.82834867861214;60.86541468923061;51.69294785629166;32.43510269130071;30.544753453881576;59.144502960031964
parda;7.405512781931758;16.60198252964414;23.656430899068848;18.45729465983731;22.463863320631546;15.241615309955826;16.107453207423564
grupos de idade;;;;;;;
10 a 24 anos;11.941405069990717;23.377347018587045;34.68782407068982;36.625074024023476;31.920396547207297;25.713293182421506;27.752522143055995
25 a 34 anos;10.19719656828595;26.130328435354947;37.187747432852646;22.407052685366757;29.11091593137526;18.139874651001048;20.91224131085761
35 a 39 anos;13.726478023121864;28.426801768691725;41.414042695008604;42.26528483878885;44.555610557877515;32.08378218406971;33.54907883891536
40 a 49 anos;11.806149997905695;30.203940974063514;38.7632851821606;30.34199640306776;30.68105635072406;21.17584209475175;23.36324650148106
50 anos ou mais;9.49906606575661;21.818512512533744;28.756902043550518;25.039903645498292;26.869342710847192;19.247391856603404;22.187177375893626
classes de rendimento mensal domiciliar per capita;;;;;;;
total (2)(3);5.387403382729794;11.77063262412606;16.067609783508846;13.30209344255814;14.63828629990292;10.326054480229;12.00031395376143
sem rendimento a menos de 1/4 do salário mínimo (2) (4) ;17.859388725916997;29.66019362557027;61.73818386071391;49.55528786301879;44.030136366457086;34.323617734282244;40.48719157665269
1/4 a menos de 1/2 salário mínimo (2);12.583115875228156;28.40898233465533;46.47387019501372;37.6371686820284;30.51971707313654;21.982502863638278;31.161528781405867
1/2 a menos de 1 salário mínimo (2);10.39192446351487;25.31944559195118;33.889457358137484;23.923989668703122;27.501058508384922;19.092582282888145;23.40151864763016
1 a menos de 2 salários mínimos (2) ;10.193790628590385;21.35129711926809;32.217988089585326;29.102124765574594;31.883524857951414;21.636330181355245;19.066518385223187
2 salários mínimos ou mais (2) ;11.7814181367877;40.70473377916795;27.840309212475866;24.083639216150218;32.76276535859011;25.40800766519148;25.277486542873586
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;;
