;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;total;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;total
               brasil;1.6381078278043735;1.7004171154197358;1.709651145558858;4.623982121264639;2.547096796068547
urbana;1.7595847322708502;1.8362619388862174;1.8410434752991272;4.732997915511568;2.658341722495608
rural;4.969856256810918;5.297486845648189;5.316340191157653;22.66663676788428;8.50053026961298
norte;4.246214901460063;4.406422650522327;4.463845393016666;10.900914883599283;5.926447215397633
rondônia;9.382091137964824;9.810115884621078;10.375332501200175;29.291688695220138;12.79273628365774
acre;10.250941301984128;9.068785229578712;7.645380184698519;53.55136267171137;17.72991748214781
amazonas;11.6178157490132;12.052919077832911;11.902014642038697;24.50967146847762;16.22077961931083
roraima;10.370502287685648;10.925567537829858;10.81751565667062;33.39775281250627;17.076538869557705
pará;7.41193131675433;7.684280684001523;7.8051225473083825;17.90739891518472;10.1549997175946
amapá;13.62597002866928;14.920111222086286;14.791354620933992;39.7194007176053;20.124923459043703
tocantins;11.586665922596836;12.523087774265862;13.292956910757898;26.358848574070162;13.011472118085567
nordeste;3.9317475894456764;4.046526981453423;4.150912994300292;7.836720838691634;5.66518830985995
maranhão;18.22064643945687;19.1757174442598;19.56261651156165;29.017549893141535;22.6780516411033
piauí;13.248618586987464;11.852190648712222;12.196460677933082;58.19498952039808;21.673342080113372
ceará;7.062551559162407;7.878901048306085;8.070818594297606;15.578841078606981;9.29829247090691
rio grande do norte;10.878044579486511;12.227789106394985;12.061779653211063;23.209387247524457;14.988463074815858
paraíba;11.570719969832638;12.309099590316933;11.909453157275177;31.89654662501261;17.161134629560003
pernambuco;6.007655858071043;6.424822247120149;6.98472043687423;18.70266984523467;9.571635266915631
alagoas;11.041127869473781;12.35864936196742;12.112707076395695;30.026386006319044;18.152837497756238
sergipe;9.408034538713478;10.247814234351905;11.07209159759146;28.82247446901735;14.29466003372045
bahia;5.713061498315981;5.966589536753748;5.933384826697001;14.43604912793592;8.580678976065782
sudeste;2.8025274790129595;2.9473227996608844;2.913351141969094;8.629796595918101;4.283225598449528
minas gerais;4.96468699791511;5.136269657547335;5.11319603743724;13.79264306674805;7.246733375450254
espírito santo;10.312388460349858;10.998962788572078;11.57350352414335;27.088989732626928;16.200974878009372
rio de janeiro;5.68897545118847;6.422819412082672;6.675872446507063;20.635114165902756;8.664401646280858
são paulo;4.233010198189796;4.4005132718790145;4.303231608091092;12.849190653417287;6.774777184441625
sul;3.225546767013807;3.372920816894126;3.4727923176771767;11.670389507049148;5.797803165367792
paraná;4.689438112690009;4.924972108860588;4.948571588738656;17.801581980477202;8.946885245925507
santa catarina;7.644424391656021;7.529463179870067;7.269306923336004;33.00086814656995;13.899596769289989
rio grande do sul;5.2462578982242425;5.670691829675984;6.139593403318527;17.36179577040311;8.986727140247929
centro-oeste;3.181191043256483;3.4733185767127037;3.4725105047809013;10.176536431474625;5.652950097435093
mato grosso do sul;7.280576127816124;7.5718590965082875;7.431508567858607;22.39731282462008;12.030407079143771
mato grosso;7.1530219066528735;7.932769093261523;8.067896240852425;24.887304980830397;10.2634451190535
goiás;4.894098796973535;5.357283610870222;5.316969435114944;16.03001325899221;10.024892648986397
