;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;total;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;total
               brasil;1.6252686846937718;1.6713401014880005;1.6997163789410046;4.311526973738688;2.522382725231804
urbana;1.5919179326661685;1.6542649311376687;1.675917316153373;4.384205465296882;2.52487792541014
rural;4.599411904495814;4.823244570297132;4.851996902537562;20.725901191236275;8.217892457339726
norte;4.15578499805456;4.141779907410857;4.184232073998624;10.288992556197677;5.778247761289827
rondônia;8.942614033714337;8.95354696061241;9.527771166348487;27.370072881598873;12.721562440161842
acre;10.614807742015982;8.547996114603933;7.359244704989798;54.53185257570376;19.849323625647365
amazonas;11.472449437956854;11.427268240703059;11.352314138010177;23.892711336997248;16.753949106080057
roraima;10.483307105703647;10.176458149715172;10.26874120977673;30.00288784299428;18.189843534561643
pará;7.215631707759275;7.209725189565951;7.250700465702586;16.111218482613793;9.515769309280188
amapá;13.541082931346395;12.487377267958129;12.304952708576865;37.39902245679242;20.976085195039524
tocantins;11.691731936030758;12.613201657204538;13.472353315079625;29.998802546570992;12.76372748110403
nordeste;3.8748193335290066;3.9204135628349555;4.069910324900476;7.163413219632298;5.613954237488506
maranhão;17.621000636636282;17.55163099834815;18.104442438577394;23.453799111270165;22.69193651846236
piauí;13.131550786116447;12.642201701229844;13.133601961594032;56.696483031210576;20.410117284267052
ceará;7.138117621389976;7.533753239331876;7.646441553433142;16.07729432661198;9.337275377577463
rio grande do norte;10.773316247310873;11.739077759159594;12.054942836440127;19.34824211308305;14.376211113922478
paraíba;11.632331728813368;12.153292533865676;11.728371619600814;28.113052429239538;17.302559157693672
pernambuco;6.039061055031328;6.792478341631451;7.538819746389844;17.735775197341184;8.962918764658705
alagoas;10.749172224258942;11.901150675877295;11.590395228019215;27.519797927086998;18.516384513902665
sergipe;9.213847890363311;10.165611380028972;10.745543150630281;29.66109973703061;14.701596406363537
bahia;5.681499843487578;6.127578454065581;6.337775193742685;13.358447291774754;8.492665191940544
sudeste;2.7995102272858046;2.9403965150578255;2.9424287580627997;8.081755677972755;4.2410369910702945
minas gerais;4.961407899082059;5.114399904690279;5.169296511378623;12.261504584640631;7.2112380966483896
espírito santo;10.302880302382029;10.796950617838833;11.389448631760319;24.717452804176734;16.233735310527038
rio de janeiro;5.707334189898313;6.334081630827258;6.601061648606428;20.138109321107883;8.690177491843194
são paulo;4.224262035630449;4.405770564018515;4.372121897654435;12.086795928929812;6.67220319095652
sul;3.1977902737054014;3.3465704138907744;3.4823882637943138;11.111677127547871;5.763971347508079
paraná;4.632253348583405;5.010738254976904;5.121397004634312;16.693509804459463;8.72329177899701
santa catarina;7.612748349057986;7.57163644487043;7.580575905877941;29.0646534255652;13.970123755565513
rio grande do sul;5.199608946392152;5.477396761646732;5.9077405623447685;17.3088886271805;9.011617720763269
centro-oeste;3.194471667231749;3.335245492857434;3.352416438738192;9.582456921669692;5.637693510339678
mato grosso do sul;7.195084260177779;7.175149879197959;7.231419187394924;20.656583389720204;12.228763117912946
mato grosso;7.055630334909741;7.528158481853132;7.644119616641256;24.685870551402857;10.565729691426721
goiás;5.007966195380185;5.185499068776861;5.172325678303439;14.596646028428847;9.89840001696791
