;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;1.6997163789410046;1.9457727669502063;4.778836460764801;2.5242756971880618;4.051004689708066;6.804892994698211
Situação do domicílio;;;;;;
urbana;1.68;1.97;4.91;2.65;4.13;6.57
rural;4.85;7.22;20.85;6.04;16.24;12.03
grandes regiões e unidades da federação;;;;;;
norte;4.18;5.22;10.67;6.4;9.3;10.96
rondônia;9.53;11.07;25.31;14.6;27.62;24.67
acre;7.36;9.1;20.67;13.45;27.3;29.28
amazonas;11.35;15.72;35.26;12.35;34.92;34.46
roraima;10.27;11.8;39.96;19.43;56.33;70.26
pará;7.25;8.93;20.04;10.86;12.04;17.39
amapá;12.3;17.44;29.99;20.98;46.08;69.84
tocantins;13.47;18.31;23.53;15.37;27.41;16.97
nordeste;4.07;4.39;11.07;4.85;8.09;12.71
maranhão;18.1;20.89;37.09;16.03;26.34;41.92
piauí;13.13;14.36;48.75;21.5;23.32;22.18
ceará;7.65;9.04;19.53;8.74;17.77;24.89
rio grande do norte;12.05;12.49;39.59;18.24;24.78;38.26
paraíba;11.73;15.21;34.86;15.57;40.4;37.96
pernambuco;7.54;8.64;20.52;12.94;26.37;25.14
alagoas;11.59;14.78;57.86;21.67;31.61;15.59
sergipe;10.75;11.12;34.86;24.27;23.12;35.39
bahia;6.34;7.26;15.4;8.16;16.73;20.43
sudeste;2.94;3.36;8.94;4.93;7.41;13.79
minas gerais;5.17;6.27;16.18;6.42;9.73;16.49
espírito santo;11.39;13.38;33.95;16.27;26.39;43.29
rio de janeiro;6.6;7.63;18.87;11.46;22.83;
são paulo;4.37;4.77;13.72;8.7;12.45;23.69
sul;3.48;4.23;9.93;5.31;8.63;14.03
paraná;5.12;6.56;15.77;8.49;12.46;28.87
santa catarina;7.58;8.64;30.66;12.12;16.55;27.06
rio grande do sul;5.91;7.2;13.23;8.13;15.86;19.73
centro-oeste;3.35;4.06;9.19;6.08;9.06;15.68
mato grosso do sul;7.23;10.56;16.52;11.39;17.68;31.2
mato grosso;7.64;8.08;22.33;15.47;23.89;29.12
goiás;5.17;6.25;14.3;8.75;14.95;24.25
