;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil (1);1.6381078278043735;2.1508281067720816;3.2075350541264673;2.4575885992800415;4.633942669511496;3.683953481809223
Sem instrução;4.17;4.62;13.78;9.04;21.52;14.53
Fundamental incompleto ou equivalente;2.39;2.95;5.74;4.64;8.35;5.61
Fundamental completo ou equivalente;3.16;4.51;8.21;6.25;13.35;10.37
Médio incompleto ou equivalente;3.81;5.66;9.52;6.19;14.26;10.64
Médio completo ou equivalente;2.31;3.35;5.23;3.87;8.39;7.72
Superior incompleto ou equivalente;4.14;6.94;10.79;6.56;12.17;13.28
Superior completo ou equivalente;3.75;5.41;8.48;5.84;14.81;9.7
Norte (1);4.25;5.05;8.05;7.39;14.59;9.46
Sem instrução;11.02;11.13;37.3;28.14;73.51;74.92
Fundamental incompleto ou equivalente;5.55;7.34;13.19;14.43;23.27;14.79
Fundamental completo ou equivalente;7.85;10.42;21.02;17.74;29.1;21.46
Médio incompleto ou equivalente;8.6;12.59;29.2;13.16;50.81;20.4
Médio completo ou equivalente;5.44;6.82;15.21;10.83;25.69;19.31
Superior incompleto ou equivalente;10.52;13.52;34.78;21.08;43.6;30.4
Superior completo ou equivalente;8.95;11.84;26.29;19.81;50.61;28.05
Nordeste (1);3.93;4.78;7.21;5.18;8.37;7.21
Sem instrução;6.87;7.2;21.26;12.51;43.81;20.04
Fundamental incompleto ou equivalente;5.73;6.58;11.73;10.22;14.75;11.28
Fundamental completo ou equivalente;6.52;9.39;16.67;12.43;22.1;18.54
Médio incompleto ou equivalente;7.67;10.39;17.39;11.91;29.65;23.8
Médio completo ou equivalente;4.69;7.05;10.29;7.45;13.47;14.24
Superior incompleto ou equivalente;8.3;16.78;21.3;12.69;21.82;25.35
Superior completo ou equivalente;8.04;11.56;16.6;12.52;27.23;20.0
Sudeste (1);2.8;4.05;5.49;3.96;8.42;6.42
Sem instrução;8.52;10.5;33.09;15.52;40.2;32.71
Fundamental incompleto ou equivalente;4.17;5.61;10.8;7.19;16.54;9.83
Fundamental completo ou equivalente;5.73;8.77;13.99;9.65;30.67;21.4
Médio incompleto ou equivalente;7.08;12.11;17.46;10.58;25.72;16.91
Médio completo ou equivalente;4.1;6.74;8.89;6.29;15.0;13.35
Superior incompleto ou equivalente;7.24;13.82;18.1;10.37;20.98;24.16
Superior completo ou equivalente;6.12;9.51;13.95;8.65;25.37;16.23
Sul (1);3.23;4.69;6.8;5.05;11.2;9.03
Sem instrução;10.66;13.95;35.65;33.96;50.96;34.25
Fundamental incompleto ou equivalente;4.8;6.25;13.28;9.76;21.66;12.9
Fundamental completo ou equivalente;6.49;8.85;19.29;14.38;30.72;22.43
Médio incompleto ou equivalente;9.64;14.22;22.23;14.96;41.58;36.43
Médio completo ou equivalente;5.49;7.64;11.45;9.32;23.7;20.56
Superior incompleto ou equivalente;8.51;12.62;22.51;14.23;26.07;34.25
Superior completo ou equivalente;8.23;12.48;17.7;11.8;32.23;19.28
Centro-Oeste (1);3.18;4.49;6.92;5.54;10.25;8.44
Sem instrução;9.78;10.98;35.25;44.42;34.85;44.35
Fundamental incompleto ou equivalente;4.81;6.16;11.37;10.3;16.45;12.81
Fundamental completo ou equivalente;7.53;12.25;19.31;15.74;30.38;24.11
Médio incompleto ou equivalente;7.62;12.19;23.46;13.51;21.0;22.2
Médio completo ou equivalente;5.24;7.56;11.82;10.07;16.87;15.85
Superior incompleto ou equivalente;10.09;15.95;26.01;14.92;25.61;29.52
Superior completo ou equivalente;7.91;11.48;19.24;13.54;30.19;20.23
