;dinheiro, cartão dedébito ou crédito, ou cheque;telefone celular;documentos ouobjetos pessoais;carro, motocicletaou bicicleta;outro
               brasil;2.22;2.2;2.5;3.45;2.15
urbana;2.32;2.27;2.58;3.59;2.36
rural;8.55;10.58;10.76;10.98;5.74
norte;6.46;5.9;7.14;10.34;5.96
rondônia;19.88;16.38;16.79;16.21;11.58
acre;14.27;19.23;13.07;24.81;10.92
amazonas;17.35;11.73;16.46;37.71;16.79
roraima;15.75;24.61;22.29;24.15;17.18
pará;11.35;10.37;12.46;18.45;10.7
amapá;16.03;21.78;27.06;21.51;20.72
tocantins;15.43;17.32;26.55;23.54;14.48
nordeste;4.48;4.3;5.34;9.55;4.45
maranhão;19.87;18.88;18.85;35.04;14.93
piauí;20.44;21.32;25.29;17.9;19.7
ceará;9.88;8.02;9.93;11.22;8.51
rio grande do norte;12.66;14.95;18.5;22.27;15.94
paraíba;17.26;20.3;27.3;33.36;12.35
pernambuco;8.78;9.59;11.14;13.14;10.08
alagoas;20.47;18.45;34.23;25.5;15.85
sergipe;19.97;10.23;15.19;17.67;14.53
bahia;6.76;7.34;9.74;16.38;8.19
sudeste;3.8;3.77;4.4;5.61;4.21
minas gerais;5.93;6.77;6.9;11.42;6.54
espírito santo;17.69;14.43;15.94;16.92;14.39
rio de janeiro;8.57;8.57;10.0;11.34;10.42
são paulo;5.78;5.68;6.91;7.83;6.47
sul;4.94;5.12;5.48;6.28;4.36
paraná;7.43;8.95;7.92;10.22;7.04
santa catarina;12.29;13.01;12.34;14.22;10.31
rio grande do sul;7.51;6.65;9.07;8.3;6.43
centro-oeste;4.59;5.12;5.48;6.28;4.26
mato grosso do sul;11.67;11.34;15.63;11.18;9.19
mato grosso;11.4;11.83;12.32;14.28;8.34
goiás;6.43;7.92;7.79;10.98;6.7
