;dinheiro,cartão de débito ou crédito, ou cheque;telefone celular;documentos ou objetos pessoais;carro, motocicletaou bicicleta;outro
total (1)(2);1.66;1.65;2.14;3.29;3.03
homens;2.0;2.07;2.6;3.43;3.67
mulheres;2.23;2.09;2.85;5.67;4.42
branca;2.37;2.37;3.09;4.62;4.2
preta ou parda;2.05;2.0;2.71;4.12;4.11
preta;4.72;4.78;6.0;10.99;10.07
parda;2.23;2.13;2.9;4.22;4.35
10 a 24 anos;2.98;2.38;3.68;5.0;5.21
25 a 34 anos;2.76;2.6;3.54;5.65;6.14
35 a 39 anos;4.36;4.53;5.9;8.72;8.46
40 a 49 anos;3.23;3.58;4.25;6.0;6.56
50 anos ou mais;3.18;4.2;4.5;6.38;5.81
sem instrução;6.0;8.75;9.41;12.16;10.4
fundamental incompleto ou equivalente;2.96;2.95;3.92;5.18;5.18
fundamental completo ou equivalente;4.26;4.2;5.77;7.98;8.23
médio incompleto ou equivalente;4.47;3.73;6.07;9.46;8.15
médio completo ou equivalente;2.58;2.53;3.32;5.15;5.36
superior incompleto ou equivalente;5.09;4.68;6.07;9.62;9.79
superior completo ou equivalente;4.65;4.68;5.69;9.69;8.34
total (3)(4);1.66;1.65;2.14;3.3;3.04
sem rendimento a menos de 1/4 do salário mínimo (3) (5);5.82;6.03;7.98;8.72;9.35
1/4 a menos de 1/2 salário mínimo (3);4.23;3.88;5.24;7.87;7.9
1/2 a menos de 1 salário mínimo (3);2.92;2.82;3.91;5.82;5.75
1 a menos de 2 salários mínimos (3) ;2.94;2.93;3.84;6.03;5.53
2 salários mínimos ou mais (3) ;3.32;3.48;4.15;6.11;5.46
