;total;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
brasil;0;3.03;3.67;0.72;3.98;6.53
dinheiro, cartão de débito ou crédito, ou cheque;0;4.46;4.2;0.99;4.6;9.8
telefone celular;0;5.17;5.14;0.82;4.86;8.41
documentos ou objetos pessoais;0;5.25;7.77;1.14;6.84;14.28
carro, motocicleta ou bicicleta;0;6.35;12.11;1.7;;22.24
outro;0;4.39;7.71;2.71;14.37;13.64
norte;0;5.76;9.29;1.26;10.08;16.79
dinheiro, cartão de débito ou crédito, ou cheque;0;8.78;11.25;1.99;11.83;25.25
telefone celular;0;8.91;13.45;1.51;12.63;22.31
documentos ou objetos pessoais;0;10.52;20.19;2.32;18.12;27.67
carro, motocicleta ou bicicleta;0;14.09;28.32;2.12;;39.57
outro;0;8.07;26.22;9.37;29.63;34.14
nordeste;0;5.52;6.62;0.9;5.69;10.48
dinheiro, cartão de débito ou crédito, ou cheque;0;8.69;7.88;1.39;6.34;17.08
telefone celular;0;8.76;8.51;1.0;6.57;13.69
documentos ou objetos pessoais;0;9.71;12.5;1.59;9.95;23.75
carro, motocicleta ou bicicleta;0;12.83;24.4;2.05;;30.73
outro;0;8.01;15.13;3.95;23.01;26.74
sudeste;0;5.69;6.3;1.44;7.2;12.15
dinheiro, cartão de débito ou crédito, ou cheque;0;7.77;6.95;1.82;8.29;17.33
telefone celular;0;9.89;9.0;1.75;8.96;15.34
documentos ou objetos pessoais;0;9.62;15.56;2.16;11.55;26.18
carro, motocicleta ou bicicleta;0;9.85;23.98;3.5;;51.83
outro;0;9.1;12.29;5.43;26.78;21.47
sul;0;7.44;7.06;2.54;13.17;16.69
dinheiro, cartão de débito ou crédito, ou cheque;0;11.29;8.48;3.22;15.25;22.05
telefone celular;0;14.9;12.79;2.84;18.86;20.22
documentos ou objetos pessoais;0;12.19;16.77;3.65;25.45;34.19
carro, motocicleta ou bicicleta;0;14.22;23.96;5.98;;47.86
outro;0;10.13;14.98;6.17;51.46;40.4
centro-oeste;0;8.2;10.0;2.54;13.54;15.19
dinheiro, cartão de débito ou crédito, ou cheque;0;10.62;12.12;3.12;16.76;23.59
telefone celular;0;12.51;15.07;2.59;18.36;22.88
documentos ou objetos pessoais;0;12.89;20.97;3.28;29.18;27.35
carro, motocicleta ou bicicleta;0;14.01;24.41;5.54;;33.87
