;total;classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo).1;classes de rendimento mensal domiciliar per capita (salário mínimo).2;classes de rendimento mensal domiciliar per capita (salário mínimo).3;classes de rendimento mensal domiciliar per capita (salário mínimo).4
               brasil;1.45;4.42;3.3;2.4;2.31;2.81
urbana;1.5;4.86;3.42;2.48;2.37;2.86
rural;9.88;15.09;15.76;12.66;15.64;14.57
norte;3.76;10.74;7.15;5.32;5.59;7.72
rondônia;10.8;33.45;28.39;16.68;18.87;23.84
acre;12.42;36.97;30.84;24.43;19.65;25.13
amazonas;9.15;23.02;17.8;12.82;14.95;20.62
roraima;16.18;38.42;21.96;28.1;34.5;37.13
pará;4.92;13.88;8.94;6.91;6.97;10.88
amapá;19.37;41.49;27.98;23.59;27.5;31.83
tocantins;15.0;70.4;31.83;17.5;34.12;23.53
nordeste;2.77;5.62;4.85;4.08;4.38;5.56
maranhão;16.9;23.83;24.45;21.03;20.61;26.18
piauí;10.99;33.48;25.46;21.94;22.38;30.13
ceará;3.85;9.93;7.89;6.73;7.19;10.28
rio grande do norte;7.72;25.87;19.14;12.24;13.22;14.17
paraíba;11.83;21.03;13.02;12.36;22.56;31.1
pernambuco;4.92;11.89;9.02;7.21;8.8;12.14
alagoas;9.3;28.62;22.43;20.39;19.85;29.1
sergipe;7.33;29.82;18.29;13.06;15.12;24.04
bahia;4.44;10.65;7.61;6.24;7.63;8.8
sudeste;2.42;12.65;7.85;4.58;4.01;4.39
minas gerais;4.34;22.52;13.01;8.01;7.25;8.51
espírito santo;8.56;33.59;23.78;15.62;12.67;17.34
rio de janeiro;4.76;23.8;17.21;9.35;7.76;8.32
são paulo;3.58;20.41;12.23;6.99;6.02;6.29
sul;3.53;17.5;12.67;6.91;5.37;6.33
paraná;5.42;26.16;17.37;11.2;7.91;9.99
santa catarina;14.81;99.63;55.5;19.24;22.36;20.66
rio grande do sul;4.29;22.28;17.46;9.11;7.0;8.05
centro-oeste;3.97;14.65;10.28;7.17;6.3;7.33
mato grosso do sul;13.38;41.91;25.97;23.06;18.7;26.47
mato grosso;9.45;40.2;28.0;19.02;12.56;17.33
goiás;6.5;22.47;16.57;11.14;10.32;12.03
distrito federal;6.24;21.5;16.32;12.08;11.71;11.25
