;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.43;1.68;1.75;1.85;1.77;3.48;1.9
urbana;1.38;1.64;1.72;1.86;1.64;3.47;1.77
rural;9.21;9.27;11.31;10.58;10.58;20.33;10.5
norte;3.76;4.47;4.12;4.59;4.2;8.93;4.22
rondônia;10.57;11.91;14.01;16.94;10.52;24.75;11.28
acre;12.37;14.7;21.94;14.29;14.97;41.61;15.73
amazonas;8.9;11.3;9.61;15.11;8.81;25.69;9.16
roraima;16.31;14.61;24.59;34.46;15.23;33.61;15.53
pará;4.97;5.97;5.24;5.25;5.76;12.27;5.7
amapá;19.02;18.78;23.91;23.31;19.3;29.31;21.49
tocantins;14.61;19.81;14.68;19.05;15.84;35.54;15.07
nordeste;2.72;3.21;3.02;3.4;2.99;4.81;3.28
maranhão;16.35;15.92;19.55;19.88;16.38;18.16;18.31
piauí;10.84;13.24;12.93;17.54;13.36;37.08;13.63
ceará;3.75;4.55;5.13;6.15;4.22;14.24;4.25
rio grande do norte;7.82;10.59;7.53;8.74;9.99;22.81;10.25
paraíba;11.81;16.49;10.84;12.14;12.67;23.25;14.35
pernambuco;5.04;6.71;5.26;5.63;6.21;12.69;6.36
alagoas;9.17;12.24;12.31;16.41;9.75;43.1;10.18
sergipe;7.34;7.81;10.72;10.58;8.15;23.6;8.99
bahia;4.46;5.36;5.11;8.43;4.41;5.84;5.31
sudeste;2.41;2.89;3.09;3.05;3.08;7.13;3.34
minas gerais;4.33;5.26;5.85;6.46;5.49;12.83;5.89
espírito santo;8.56;11.96;9.78;12.62;10.11;19.07;11.21
rio de janeiro;4.76;5.32;6.04;5.94;6.32;12.64;7.07
são paulo;3.55;4.32;4.56;4.17;4.89;12.38;5.26
sul;3.52;3.99;4.8;3.8;7.16;11.97;8.32
paraná;5.39;6.13;7.37;5.68;10.46;22.71;11.44
santa catarina;14.73;15.69;19.89;16.24;23.82;68.6;25.15
rio grande do sul;4.3;5.04;6.02;4.65;9.62;13.88;12.06
centro-oeste;3.94;4.39;5.28;5.21;4.72;9.74;4.86
mato grosso do sul;13.19;13.15;18.15;15.5;16.62;45.33;16.33
mato grosso;9.47;12.38;12.32;11.8;11.55;21.96;11.91
goiás;6.42;7.03;8.66;8.47;7.64;16.0;7.82
distrito federal;6.26;6.57;8.21;9.15;7.05;13.87;7.57
