;total;sem instrução;fundamental incompleto ou equivalente;fundamental completo ou equivalente;médio incompleto ou equivalente;médio completo ou equivalente;superior incompleto ou equivalente;superior completo ou equivalente
               brasil;0.0;4.58;1.78;2.87;2.87;1.53;3.6;3.52
urbana;0.0;5.14;1.85;2.95;2.93;1.55;3.64;3.51
rural;0.0;13.05;6.26;13.49;14.39;10.75;22.4;30.62
norte;0.0;11.76;4.36;6.09;5.51;3.69;8.71;9.66
rondônia;0.0;31.89;12.84;23.14;21.93;17.27;21.73;29.6
acre;0.0;24.47;16.44;25.21;24.97;13.11;41.77;26.63
amazonas;0.0;32.8;9.51;16.41;18.49;8.97;24.52;34.74
roraima;0.0;57.88;21.57;25.12;31.51;13.46;100.4;68.8
pará;0.0;17.37;5.82;7.75;6.44;4.64;12.37;12.49
amapá;0.0;56.34;16.6;19.88;17.3;16.15;24.3;36.69
tocantins;0.0;19.89;16.79;32.11;41.05;21.94;24.02;30.99
nordeste;0.0;6.16;2.73;4.73;4.41;2.35;6.16;6.38
maranhão;0.0;16.21;11.07;20.46;22.68;9.02;35.93;44.18
piauí;0.0;59.43;10.93;31.68;27.73;13.96;28.52;28.32
ceará;0.0;13.76;5.18;7.37;7.79;4.92;11.4;10.67
rio grande do norte;0.0;18.88;11.73;17.55;18.63;8.7;25.17;32.24
paraíba;0.0;25.74;10.33;18.99;16.08;10.32;28.89;26.03
pernambuco;0.0;15.33;5.97;9.39;8.6;4.51;11.5;11.33
alagoas;0.0;23.14;10.38;26.0;20.2;17.63;33.84;31.02
sergipe;0.0;29.46;8.2;25.21;15.46;14.16;24.23;34.78
bahia;0.0;12.24;5.53;9.5;7.46;3.88;10.29;10.2
sudeste;0.0;10.57;3.71;5.25;6.17;2.78;5.86;5.26
minas gerais;0.0;21.43;6.78;9.72;11.65;5.54;9.47;10.86
espírito santo;0.0;29.52;12.35;18.98;18.56;11.35;28.09;31.89
rio de janeiro;0.0;23.72;6.95;9.79;11.89;5.24;10.12;8.93
são paulo;0.0;15.29;5.76;7.94;9.18;3.98;9.26;7.56
sul;0.0;15.51;5.01;7.98;8.48;4.62;8.67;9.03
paraná;0.0;20.95;7.88;11.77;12.66;7.38;15.29;12.67
santa catarina;0.0;36.68;17.87;31.87;33.86;16.03;43.81;33.88
rio grande do sul;0.0;28.76;6.51;10.09;11.7;5.75;9.96;12.11
centro-oeste;0.0;13.82;4.38;8.23;7.46;5.1;11.17;9.15
mato grosso do sul;0.0;32.3;13.67;21.52;28.43;16.32;33.18;26.31
mato grosso;0.0;25.81;14.27;21.05;18.51;12.83;29.35;20.17
goiás;0.0;19.67;6.54;13.57;12.67;8.81;17.75;14.27
distrito federal;0.0;60.21;6.7;13.64;9.96;7.24;16.54;16.23
