;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;1.54;1.76;4.79;2.8;5.1;7.43
urbana;1.62;1.82;4.96;2.89;5.25;8.32
rural;9.3;13.8;18.99;11.86;21.36;16.43
norte;3.87;4.5;9.99;6.28;14.13;16.73
rondônia;11.25;13.38;33.37;18.81;27.35;58.71
acre;14.04;16.11;55.88;25.89;35.86;71.37
amazonas;9.74;11.32;25.4;16.17;43.79;57.08
roraima;17.57;24.61;47.92;18.45;;
pará;5.01;5.93;12.6;7.94;19.92;20.47
amapá;20.84;19.66;38.83;34.52;44.88;75.95
tocantins;17.61;16.51;56.84;30.46;56.34;48.51
nordeste;2.85;3.31;7.81;4.38;8.67;11.05
maranhão;17.2;20.95;41.95;16.39;35.26;31.76
piauí;11.1;14.79;38.25;19.89;60.68;58.65
ceará;4.21;5.28;12.26;8.6;16.73;22.93
rio grande do norte;8.43;10.88;26.85;19.1;25.52;32.08
paraíba;10.51;13.12;19.06;19.31;36.26;45.16
pernambuco;5.32;6.31;14.96;9.65;18.2;23.75
alagoas;11.53;11.99;41.71;23.68;32.22;74.63
sergipe;11.45;11.81;43.97;21.43;71.01;69.22
bahia;4.58;5.44;13.14;7.97;15.78;17.59
sudeste;2.67;2.96;10.02;5.45;8.8;15.92
minas gerais;4.92;5.54;18.27;10.76;16.98;29.1
espírito santo;9.96;11.49;30.31;22.43;35.1;37.45
rio de janeiro;5.09;5.72;16.51;9.65;16.08;37.53
são paulo;3.96;4.31;17.15;8.11;13.03;25.61
sul;3.82;4.38;14.61;8.19;11.49;26.61
paraná;5.68;6.29;24.0;12.68;17.06;41.47
santa catarina;16.03;19.77;50.71;24.14;44.21;99.97
rio grande do sul;4.96;5.82;18.47;11.74;14.84;35.17
centro-oeste;4.23;5.11;11.7;8.4;14.31;20.89
mato grosso do sul;13.81;16.53;32.07;21.38;33.95;43.03
mato grosso;10.11;10.53;43.73;17.76;34.23;32.61
goiás;6.82;8.91;17.08;13.16;24.39;36.99
