;total;classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo).1;classes de rendimento mensal domiciliar per capita (salário mínimo).2;classes de rendimento mensal domiciliar per capita (salário mínimo).3;classes de rendimento mensal domiciliar per capita (salário mínimo).4
               brasil;1.44;4.63;3.26;2.29;2.18;2.43
urbana;1.38;4.69;3.16;2.28;2.19;2.46
rural;9.22;14.06;15.3;11.87;15.11;13.3
norte;3.76;10.05;6.57;5.12;5.38;6.74
rondônia;10.65;29.96;26.04;16.47;18.39;21.22
acre;12.34;36.08;29.03;21.44;20.69;18.43
amazonas;8.98;24.58;17.17;12.87;13.99;19.17
roraima;16.44;36.08;20.85;25.88;31.9;32.57
pará;4.95;12.35;7.85;6.64;7.16;9.58
amapá;19.21;51.63;27.34;20.26;18.5;27.53
tocantins;14.99;76.47;30.33;15.68;32.43;17.38
nordeste;2.74;6.25;4.79;3.7;3.61;4.12
maranhão;16.36;31.76;24.33;16.88;13.74;20.52
piauí;10.91;35.46;23.45;20.93;18.98;20.44
ceará;3.83;11.32;7.73;6.35;6.62;8.27
rio grande do norte;7.8;23.13;18.47;11.18;10.71;11.31
paraíba;11.94;20.35;15.61;11.74;18.4;16.67
pernambuco;5.03;12.07;9.0;7.54;8.31;9.81
alagoas;9.06;27.15;21.36;18.05;17.48;23.41
sergipe;7.32;25.88;17.06;12.73;13.11;20.18
bahia;4.47;11.12;7.23;6.36;6.6;6.75
sudeste;2.41;12.35;7.74;4.47;3.85;3.8
minas gerais;4.33;22.41;12.9;7.91;6.87;7.8
espírito santo;8.65;34.22;23.47;14.0;12.45;15.29
rio de janeiro;4.76;22.05;17.65;8.98;7.41;7.1
são paulo;3.55;19.8;11.86;6.85;5.8;5.41
sul;3.52;17.85;13.06;6.82;5.3;5.86
paraná;5.4;26.96;18.07;11.26;7.79;9.12
santa catarina;14.73;99.96;54.75;18.03;22.18;18.92
rio grande do sul;4.3;22.49;18.41;8.87;6.9;7.4
centro-oeste;3.95;14.35;10.01;6.78;6.18;6.44
mato grosso do sul;13.24;40.48;25.81;22.06;18.37;22.07
mato grosso;9.44;40.39;26.94;19.45;12.85;14.77
goiás;6.45;21.04;16.25;10.46;10.12;10.86
distrito federal;6.26;19.42;14.63;10.31;10.57;10.37
