;coeficientes de variação das estimativas de percentual de pessoas que foram roubadas de cada tipo de bem no último roubo, na população de 10 anos ou mais de idade que foi vítima de roubo, no período de referência de 365 dias (%);coeficientes de variação das estimativas de percentual de pessoas que foram roubadas de cada tipo de bem no último roubo, na população de 10 anos ou mais de idade que foi vítima de roubo, no período de referência de 365 dias (%);coeficientes de variação das estimativas de percentual de pessoas que foram roubadas de cada tipo de bem no último roubo, na população de 10 anos ou mais de idade que foi vítima de roubo, no período de referência de 365 dias (%);coeficientes de variação das estimativas de percentual de pessoas que foram roubadas de cada tipo de bem no último roubo, na população de 10 anos ou mais de idade que foi vítima de roubo, no período de referência de 365 dias (%);coeficientes de variação das estimativas de percentual de pessoas que foram roubadas de cada tipo de bem no último roubo, na população de 10 anos ou mais de idade que foi vítima de roubo, no período de referência de 365 dias (%)
total (1)(2);1.0;0.98;1.62;2.75;2.57
homens;1.29;1.37;2.07;2.84;3.17
mulheres;1.4;1.24;2.27;5.18;3.99
branca;1.41;1.55;2.38;3.93;3.64
preta ou parda;1.31;1.23;2.12;3.52;3.59
preta;2.92;3.07;4.93;9.86;9.57
parda;1.44;1.32;2.3;3.64;3.78
10 a 24 anos;2.29;1.2;3.11;4.55;4.72
25 a 34 anos;1.7;1.79;2.83;4.93;5.48
35 a 39 anos;2.56;3.14;4.67;7.86;7.85
40 a 49 anos;1.91;2.69;3.45;5.41;5.97
50 anos ou mais;1.69;3.25;3.48;5.64;5.21
sem instrução;3.75;7.43;7.93;10.87;9.11
fundamental incompleto ou equivalente;1.92;2.06;3.27;4.52;4.7
fundamental completo ou equivalente;2.75;2.72;4.72;7.36;7.38
médio incompleto ou equivalente;3.34;2.34;5.35;8.35;7.55
médio completo ou equivalente;1.65;1.58;2.65;4.59;4.82
superior incompleto ou equivalente;3.2;2.63;4.59;8.64;9.15
superior completo ou equivalente;2.39;2.92;4.05;8.17;7.65
total (3)(4);1.01;0.99;1.63;2.76;2.58
sem rendimento a menos de 1/4 do salário mínimo (3) (5);4.14;3.79;6.64;7.86;8.6
1/4 a menos de 1/2 salário mínimo (3);2.91;2.51;4.28;6.75;6.94
1/2 a menos de 1 salário mínimo (3);1.99;1.79;3.2;4.99;5.22
1 a menos de 2 salários mínimos (3) ;1.85;1.82;3.06;5.42;4.92
2 salários mínimos ou mais (3) ;1.74;2.24;3.05;5.1;4.66
