;total;procura pela polícia em decorrência do último roubo;procura pela polícia em decorrência do último roubo.1
               brasil;0.0;1.13;1.06
urbana;0.0;1.15;1.08
rural;0.0;5.58;4.9
norte;0.0;2.88;2.17
rondônia;0.0;5.9;10.86
acre;0.0;8.07;11.2
amazonas;0.0;7.03;4.88
roraima;0.0;10.41;12.11
pará;0.0;4.04;2.7
amapá;0.0;9.03;7.05
tocantins;0.0;10.42;10.42
nordeste;0.0;2.05;1.39
maranhão;0.0;9.47;6.9
piauí;0.0;11.18;8.06
ceará;0.0;3.56;2.36
rio grande do norte;0.0;8.35;6.79
paraíba;0.0;8.95;5.55
pernambuco;0.0;4.09;2.93
alagoas;0.0;8.87;5.36
sergipe;0.0;8.6;4.78
bahia;0.0;3.41;2.23
sudeste;0.0;1.92;2.17
minas gerais;0.0;3.2;4.14
espírito santo;0.0;9.26;5.52
rio de janeiro;0.0;4.33;3.7
são paulo;0.0;2.64;3.41
sul;0.0;2.6;3.44
paraná;0.0;4.47;4.85
santa catarina;0.0;7.87;15.53
rio grande do sul;0.0;3.27;4.95
centro-oeste;0.0;2.69;3.38
mato grosso do sul;0.0;8.61;12.84
mato grosso;0.0;6.86;9.2
goiás;0.0;4.02;5.12
