;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;1.55;1.69;4.72;2.79;4.96;7.83
urbana;1.5;1.69;4.87;2.78;5.06;8.3
rural;8.91;12.69;18.2;11.63;21.43;16.17
norte;4.17;4.53;9.89;6.4;13.07;17.5
rondônia;11.52;13.0;32.68;18.71;26.5;59.13
acre;14.32;16.59;53.26;27.0;26.61;74.58
amazonas;9.45;11.08;24.52;15.92;43.41;57.12
roraima;17.84;24.25;50.78;20.03;;
pará;5.9;6.28;13.12;8.35;18.17;22.93
amapá;17.82;17.8;33.9;30.18;39.5;76.27
tocantins;17.74;14.96;52.78;30.52;52.86;52.84
nordeste;2.94;2.95;7.51;4.58;8.63;11.91
maranhão;17.48;16.17;39.08;19.68;38.57;42.65
piauí;11.47;12.99;37.15;20.0;60.89;59.35
ceará;4.24;4.59;11.71;7.66;16.56;23.61
rio grande do norte;9.11;10.35;25.66;17.97;19.9;33.63
paraíba;10.5;12.35;18.25;18.36;31.09;48.06
pernambuco;6.1;6.23;15.19;9.55;18.17;17.97
alagoas;11.33;11.48;38.57;23.14;26.56;68.26
sergipe;12.02;12.34;40.77;21.56;67.8;58.29
bahia;4.75;5.41;13.18;8.45;15.79;18.12
sudeste;2.64;2.9;9.96;5.27;8.58;16.08
minas gerais;4.91;5.45;18.31;10.51;16.72;28.92
espírito santo;10.03;11.6;27.74;22.21;34.6;44.4
rio de janeiro;5.03;5.61;15.94;9.37;14.83;36.04
são paulo;3.89;4.21;17.16;7.79;12.82;25.16
sul;3.89;4.25;14.38;8.4;11.02;27.37
paraná;5.69;6.14;23.42;12.41;15.98;42.93
santa catarina;16.34;19.01;48.8;26.88;42.59;107.77
rio grande do sul;5.06;5.75;18.74;11.79;14.75;34.24
centro-oeste;4.25;5.02;11.4;8.31;13.52;22.74
mato grosso do sul;13.76;16.55;30.8;22.55;32.26;45.2
mato grosso;10.24;11.06;43.52;16.89;31.54;39.13
goiás;6.85;8.54;16.73;13.0;23.01;39.03
