;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;1.44;1.5;1.54;3.64;2.4
urbana;1.5;1.57;1.62;3.67;2.45
rural;9.87;9.68;9.3;27.29;14.97
norte;3.76;3.93;3.87;8.04;4.94
rondônia;10.72;11.0;11.25;36.0;16.68
acre;12.42;13.84;14.04;39.45;25.79
amazonas;9.07;9.23;9.74;18.08;14.19
roraima;16.04;17.06;17.57;38.78;23.31
pará;4.93;5.18;5.01;10.43;5.96
amapá;19.19;18.94;20.84;26.8;24.66
tocantins;14.64;17.6;17.61;38.14;23.95
nordeste;2.76;2.73;2.85;5.47;4.28
maranhão;16.9;16.45;17.2;28.58;21.87
piauí;10.96;11.27;11.1;25.0;18.94
ceará;3.78;3.98;4.21;9.19;6.34
rio grande do norte;7.72;7.92;8.43;16.17;14.02
paraíba;11.7;9.98;10.51;21.05;20.6
pernambuco;4.93;5.5;5.32;12.72;6.58
alagoas;9.41;10.11;11.53;28.37;15.03
sergipe;7.33;10.11;11.45;20.08;11.37
bahia;4.43;4.41;4.58;8.5;7.72
sudeste;2.42;2.61;2.67;7.2;4.37
minas gerais;4.33;4.69;4.92;13.17;8.53
espírito santo;8.47;9.39;9.96;22.43;14.4
rio de janeiro;4.76;5.03;5.09;14.68;8.47
são paulo;3.58;3.85;3.96;10.25;6.52
sul;3.53;3.78;3.82;11.93;6.6
paraná;5.42;5.74;5.68;18.68;10.43
santa catarina;14.81;15.87;16.03;57.87;25.55
rio grande do sul;4.28;4.75;4.96;14.54;7.77
centro-oeste;3.96;4.19;4.23;10.47;6.75
mato grosso do sul;13.33;14.15;13.81;30.01;18.46
mato grosso;9.45;9.84;10.11;30.23;19.15
goiás;6.49;6.9;6.82;19.09;11.72
