;total(1);sexo;sexo;cor ou raça;cor ou raça;cor ou raça;cor ou raça
;unnamed: 1_level_1;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.0;0.8680408270628629;1.0320192412945994;1.2184278165002573;1.1444723615120147;3.413362888733703;1.2901392585020774
situação do domicílio;;;;;;;
urbana;0.0;0.8968655218107695;1.0441129262437248;1.234518761127987;1.1915111498158553;3.499768317209221;1.3473712829289817
rural;0.0;2.818670161184269;5.364156496925846;7.279923109581033;3.672078281193171;16.550964414833963;4.0008062939770195
grandes regiões e unidades da federação;;;;;;;
norte;0.0;1.8774967052780003;2.2749783559328276;3.6399458483473923;1.2296671221082298;8.449016256910463;1.425296705681488
rondônia;0.0;6.754054222047422;9.012809739489358;10.519331766812565;5.633003715669057;24.812132628856748;6.698005385074504
acre;0.0;9.269970907593418;15.985820282070236;13.335607997429786;6.148627096299093;38.23109363186479;8.709281375778202
amazonas;0.0;4.8794879987430075;5.830849062262841;11.18145904401383;3.3018719866553283;30.743143749445768;3.792125510649093
roraima;0.0;9.035436673794589;12.644882921023834;27.117722619811918;9.303026208461267;35.17199825636557;10.295645921933138
pará;0.0;2.4489927927822173;2.8080210809648123;4.600975536970973;1.4694756300661367;10.614114638707512;1.6722356348281384
amapá;0.0;7.019121158485811;10.673106146342084;15.526024670136538;5.420430364683044;29.151303466837255;7.2403788674172525
tocantins;0.0;8.083017374757056;13.471695624595093;10.566027984129612;5.193471382029807;34.81401726395216;5.007672429627112
nordeste;0.0;1.3838178425214374;1.658173184378933;2.5344644218837673;1.1925202324629949;4.652719785673475;1.447804764360611
maranhão;0.0;4.89918241472859;7.076596821274627;14.416578109892615;4.6299545317958275;19.1114681664587;5.892143581170155
piauí;0.0;7.159765932423787;6.968838840892486;16.352251078929076;5.648959463630044;36.28737764816331;5.702256756019761
ceará;0.0;2.8780753712467413;3.391180481053107;4.5716068646357;2.2383074293913356;14.494550877587379;2.527350733728699
rio grande do norte;0.0;5.026218374074958;5.627948742802243;7.388073506651528;5.247211297337734;17.46276652931299;6.1028376845091
paraíba;0.0;6.957279076615865;8.460051357164895;6.144939814524887;5.602186529976084;24.855987013151896;6.289166474489019
pernambuco;0.0;3.089837198383595;3.604578620824657;4.118754128621939;2.6736257086804778;11.712964285933067;3.066580364521361
alagoas;0.0;7.494138177206837;9.60516301585665;11.487817210901593;5.585819377777839;42.22422399938348;6.862308674169966
sergipe;0.0;4.268134197599046;7.11355699599841;9.61734449704229;4.371520225928314;27.679149311802057;4.966670528579902
bahia;0.0;2.628912348866461;2.9535473568739454;6.606106044133889;1.903435593020832;5.601292394596633;2.557966301981248
sudeste;0.0;1.689682490545073;1.9015708448768553;1.6788656897906384;2.65131080266215;7.109104811894533;3.000421178302992
minas gerais;0.0;3.1586530438026315;3.8091460922460705;4.536056000867568;3.6977394666695256;11.77696134561599;4.358103974949802
espírito santo;0.0;7.159357854353041;7.223280692338334;8.979294307286212;6.614172420409996;18.67770797098423;8.678684087235684
rio de janeiro;0.0;2.96063103907139;3.259727014466778;3.1959809912371218;5.083038091455201;12.669810134582793;5.902332261396657
são paulo;0.0;2.5457104099046;2.8571159850883934;2.134562338326031;4.3908471989603;12.606659735616205;4.890230269460609
sul;0.0;2.139151456827012;3.01034230647842;1.445808824376036;6.211713085970322;12.114242111162508;7.2650260813125085
paraná;0.0;3.255816313149232;4.577689786264863;2.445121257618934;8.66765056947178;22.7549315614092;9.40591177430941
santa catarina;0.0;7.236746524003449;11.649396843517751;3.308020742792192;22.64979540986228;66.01105138879674;25.927895905696126
rio grande do sul;0.0;2.962798451172754;4.032336534229135;1.8142928594293362;8.970648324225994;14.112898762546978;11.321236863357681
centro-oeste;0.0;2.5395173985040143;3.0326192232468423;3.488635160426151;2.3211549071597792;9.017223990807352;2.7808231096855476
mato grosso do sul;0.0;8.328077855524558;9.105365122040183;9.143893500938164;9.006579158785426;38.730053553577655;9.794192067632483
mato grosso;0.0;7.683742750685382;8.179468089439277;8.751410646913158;5.918215363960865;18.90203761164505;8.561450800755672
goiás;0.0;3.897573839268312;4.921360515942477;5.363369484772886;3.488922827463167;15.535461923385578;3.8797243253807756
distrito federal;0.0;3.6477102216150357;4.478083280194068;6.514760164363168;3.7063131867339196;13.055015613102242;4.378748289973906
