;Total;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade
;;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 anos ou mais
               Brasil;1.44;4.29;2.21;2.26;2.18;2.61
Situação do domicílio;;;;;;
Urbana;1.5;4.38;2.27;2.33;2.23;2.72
Rural;9.87;24.38;15.09;14.26;12.38;10.38
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.76;8.88;5.59;4.93;5.39;6.22
Rondônia;10.72;29.88;17.71;20.03;14.7;17.34
Acre;12.42;41.37;23.43;23.03;21.63;30.31
Amazonas;9.07;22.13;13.12;13.43;12.78;17.94
Roraima;16.04;42.53;23.99;28.17;26.7;35.76
Pará;4.93;11.32;7.27;6.07;6.98;8.07
Amapá;19.19;49.81;21.42;21.28;32.55;30.14
Tocantins;14.64;41.91;28.52;24.69;18.94;23.65
Nordeste;2.76;6.7;3.73;3.93;3.79;4.34
Maranhão;16.9;27.3;21.81;20.45;22.79;20.87
Piauí;10.96;37.84;17.43;19.82;14.72;22.7
Ceará;3.78;12.11;5.56;5.97;5.69;9.17
Rio Grande do Norte;7.72;24.89;10.33;13.76;12.56;14.81
Paraíba;11.7;26.16;16.05;12.74;14.91;20.9
Pernambuco;4.93;15.18;7.49;6.72;8.24;7.76
Alagoas;9.41;27.53;13.78;19.65;14.58;17.82
Sergipe;7.33;22.0;10.26;19.16;14.79;12.57
Bahia;4.43;11.95;6.52;5.85;6.5;7.7
Sudeste;2.42;9.53;4.06;4.11;3.89;4.5
Minas Gerais;4.33;18.16;7.22;7.33;7.98;8.69
Espírito Santo;8.47;23.31;14.02;17.57;12.09;18.69
Rio de Janeiro;4.76;18.69;7.7;7.13;7.19;8.77
São Paulo;3.58;15.16;6.17;6.24;5.61;6.55
Sul;3.53;12.28;5.85;6.72;5.96;6.05
Paraná;5.42;18.24;8.21;9.93;8.99;9.15
Santa Catarina;14.81;33.39;21.78;29.01;22.88;25.0
Rio Grande do Sul;4.28;17.26;8.9;8.82;8.11;7.78
Centro-Oeste;3.96;10.34;6.43;6.31;5.97;7.94
Mato Grosso do Sul;13.33;29.79;18.9;18.78;20.6;21.5
Mato Grosso;9.45;40.69;18.66;13.6;12.73;16.77
Goiás;6.49;18.55;11.58;10.5;9.79;13.28
