;"Dinheiro,
cartão de débito
ou crédito, ou cheque";Telefone celular;"Documentos
ou objetos pessoais";"Carro, motocicleta
ou bicicleta";Outro
               Brasil;1.001781487020283;0.9827514741750809;1.6210269039134984;2.75098358698861;2.567565153374605
Situação do domicílio;;;;;
Urbana;1.02;1.0;1.67;2.86;2.65
Rural;4.69;6.94;8.29;10.37;10.14
Grandes Regiões e Unidades da Federação;;;;;
Norte;2.56;2.07;3.89;5.48;7.88
Rondônia;11.59;11.45;13.26;11.7;23.49
Acre;11.06;13.46;22.67;21.65;14.69
Amazonas;5.85;4.33;9.48;27.67;19.4
Roraima;17.4;19.94;20.22;13.23;27.2
Pará;3.26;2.54;4.78;6.66;11.29
Amapá;11.47;9.23;17.3;14.73;47.81
Tocantins;12.33;14.24;29.06;26.44;23.95
Nordeste;1.82;1.52;2.7;5.38;4.38
Maranhão;9.29;9.76;14.34;23.66;13.94
Piauí;10.86;5.94;16.17;23.24;22.92
Ceará;3.32;2.55;5.39;6.45;8.96
Rio Grande do Norte;6.16;4.57;9.09;16.05;12.88
Paraíba;7.56;5.62;9.98;18.58;20.29
Pernambuco;2.94;2.33;4.8;10.35;8.36
Alagoas;10.83;5.93;10.88;24.08;20.09
Sergipe;9.28;6.41;14.06;15.06;18.74
Bahia;2.97;2.35;4.89;11.59;7.66
Sudeste;1.63;1.88;2.97;4.86;4.93
Minas Gerais;3.64;3.35;5.89;12.07;10.53
Espírito Santo;7.37;5.97;12.01;19.79;19.82
Rio de Janeiro;2.65;2.74;4.76;8.7;11.93
São Paulo;2.4;3.1;4.54;6.41;6.47
Sul;2.54;3.27;4.04;6.77;5.52
Paraná;3.84;4.94;7.07;10.53;7.51
Santa Catarina;11.67;14.9;12.05;24.39;17.99
Rio Grande do Sul;3.2;4.0;5.01;9.08;9.01
Centro-Oeste;2.71;3.06;4.15;6.96;6.98
Mato Grosso do Sul;9.75;8.98;17.31;20.54;17.89
Mato Grosso;6.91;9.57;9.97;17.07;16.75
Goiás;4.05;5.02;6.17;11.65;10.42
