;total;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo
;total;própria residência ou de terceiros;estabelecimento comercial;via pública;transporte coletivo;outro
               brasil;0.0;3.03;3.67;0.72;3.98;6.53
urbana;0.0;3.21;3.72;0.74;4.06;6.89
rural;0.0;10.33;17.52;4.03;18.57;19.67
norte;0.0;5.76;9.29;1.26;10.08;16.79
rondônia;0.0;13.83;18.79;9.48;66.6;59.1
acre;0.0;19.4;24.4;11.31;55.6;102.59
amazonas;0.0;16.47;25.59;3.33;21.14;36.49
roraima;0.0;20.37;52.5;11.26;;71.78
pará;0.0;8.34;13.86;1.36;12.09;23.29
amapá;0.0;24.22;35.26;4.87;106.5;101.18
tocantins;0.0;19.01;40.95;15.4;49.47;35.65
nordeste;0.0;5.52;6.62;0.9;5.69;10.48
maranhão;0.0;17.87;40.32;3.65;29.2;34.25
piauí;0.0;22.72;35.91;5.03;37.59;
ceará;0.0;11.32;12.1;1.41;12.57;22.73
rio grande do norte;0.0;19.52;22.94;3.65;22.93;33.29
paraíba;0.0;19.42;23.86;3.73;29.21;41.39
pernambuco;0.0;11.85;14.03;1.73;11.3;24.45
alagoas;0.0;23.41;31.3;4.33;52.23;69.76
sergipe;0.0;18.03;34.86;4.6;47.81;33.05
bahia;0.0;11.71;9.9;1.84;7.75;20.28
sudeste;0.0;5.69;6.3;1.44;7.2;12.15
minas gerais;0.0;10.56;11.29;2.57;15.9;20.11
espírito santo;0.0;21.35;18.46;5.19;26.98;40.02
rio de janeiro;0.0;14.15;16.31;2.5;9.28;21.72
são paulo;0.0;7.68;8.37;2.2;14.06;17.75
sul;0.0;7.44;7.06;2.54;13.17;16.69
paraná;0.0;10.64;9.64;3.96;23.78;26.63
santa catarina;0.0;16.54;25.03;10.77;53.66;39.4
rio grande do sul;0.0;11.81;11.23;3.0;15.81;23.02
centro-oeste;0.0;8.2;10.0;2.54;13.54;15.19
mato grosso do sul;0.0;21.32;27.58;6.84;48.37;33.16
mato grosso;0.0;11.81;17.86;9.32;55.58;35.83
goiás;0.0;13.46;18.72;4.01;19.86;24.36
