;Total;Procura pela polícia em decorrência do último roubo;Procura pela polícia em decorrência do último roubo
;;Procuraram ;Não procuraram 
               Brasil;1.44;1.85;1.77
Situação do domicílio;;;
Urbana;1.5;1.94;1.8
Rural;9.87;9.22;12.64
Grandes Regiões e Unidades da Federação;;;
Norte;3.76;4.41;4.59
Rondônia;10.72;12.17;15.37
Acre;12.42;14.24;17.39
Amazonas;9.07;11.39;10.35
Roraima;16.04;17.48;21.78
Pará;4.93;5.99;5.89
Amapá;19.19;20.82;20.75
Tocantins;14.64;18.59;17.33
Nordeste;2.76;3.46;3.07
Maranhão;16.9;18.54;18.88
Piauí;10.96;15.94;13.36
Ceará;3.78;5.31;4.36
Rio Grande do Norte;7.72;8.91;12.1
Paraíba;11.7;17.16;10.93
Pernambuco;4.93;7.03;5.18
Alagoas;9.41;14.16;9.86
Sergipe;7.33;10.89;9.03
Bahia;4.43;5.42;5.09
Sudeste;2.42;3.23;3.09
Minas Gerais;4.33;5.43;5.95
Espírito Santo;8.47;12.03;10.48
Rio de Janeiro;4.76;6.59;5.88
São Paulo;3.58;4.68;4.67
Sul;3.53;4.46;4.84
Paraná;5.42;7.51;6.74
Santa Catarina;14.81;15.44;23.35
Rio Grande do Sul;4.28;5.26;6.7
Centro-Oeste;3.96;4.76;5.24
Mato Grosso do Sul;13.33;16.34;17.88
Mato Grosso;9.45;11.76;13.09
Goiás;6.49;7.54;8.37
