;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%)
;total;motivo de não terem procurado a polícia em decorrência do último roubo;motivo de não terem procurado a polícia em decorrência do último roubo.1;motivo de não terem procurado a polícia em decorrência do último roubo.2;motivo de não terem procurado a polícia em decorrência do último roubo.3;motivo de não terem procurado a polícia em decorrência do último roubo.4
total (1)(2);1.768869295502065;4.643458916873252;3.1438208991859162;2.694973305533619;3.268807523593266;4.890174280777566
sexo;;;;;;
homens;2.1484850562073725;5.500945396712375;4.062499514580669;3.3699044459209206;4.316554693728479;6.489178108059269
mulheres;2.246604638280759;6.5122932994602944;4.293379961483282;3.449956194610034;4.646356895605987;6.69280426238791
cor ou raça;;;;;;
branca;2.410011520357969;6.20035112319065;4.519133815577279;3.90751020368082;5.279137080138133;7.379686536252617
preta ou parda;2.207444921754221;6.320406042925827;3.930265705497907;3.3747753614021474;4.006496513944344;6.128858987468364
preta;4.523799365849976;12.451641157277162;9.741404249419515;7.300989773956179;9.64174791399422;13.337187110632868
parda;2.3422313618039374;6.941155768695073;4.1729482054740235;3.554926986234545;4.267550829855386;6.853091156409998
grupos de idade;;;;;;
10 a 24 anos;2.4898088789504675;7.069529944137108;4.583295985963236;3.8557192787145462;4.9732678311141365;7.090546631838575
25 a 34 anos;3.1153776520866803;9.49155557523935;5.900108748722996;4.609657977245192;6.418978742744363;9.856806715735278
35 a 39 anos;4.897335909917461;13.682293130446528;10.218640173057144;7.671543574097118;10.968741807153101;15.04223777606846
40 a 49 anos;3.75135636244377;10.773630262993194;7.713535655711784;6.049201827631327;8.406597830846389;13.543801914631345
50 anos ou mais;3.492765437722495;9.02364192917502;7.576991901115373;5.848979427964535;7.5217098985609985;10.991639102972101
nível de instrução;;;;;;
sem instrução;5.9928246181737395;14.059868011089058;14.535999546633958;10.478628160110171;11.67351828976475;18.53641043928772
fundamental incompleto ou equivalente;2.8628495465639596;6.966942495310512;5.348465927152138;4.722076649704811;5.589935545417474;8.66201891429188
fundamental completo ou equivalente;4.312140611912221;12.65465394317116;8.615885359842943;6.911542228556493;8.799290883559511;14.056632280638647
médio incompleto ou equivalente;3.965028513655128;12.442624444164867;7.691743086267375;6.058636834736672;8.043268330581503;12.869741743460189
médio completo ou equivalente;2.7815510506554566;8.696504631599952;5.2395881080344395;4.273817251246634;6.122956970744342;8.671252250138744
superior incompleto ou equivalente;5.63097582778132;15.922093953545218;10.245662610003537;8.980420820903943;13.790123115839053;17.73237908390983
superior completo ou equivalente;5.600494880419577;18.226146045935195;11.274172816906727;8.178090604938047;14.389984154189221;15.071213103224538
classes de rendimento mensal domiciliar per capita;;;;;;
total (3)(4);1.7700860490074835;4.66235522319434;3.1520874133222003;2.7063669448714625;3.2683255678483127;4.904971262123441
sem rendimento a menos de 1/4 do salário mínimo (3) (5);5.183113739227279;12.741973228513375;11.410668054533033;7.426429400423485;10.121208090055667;16.35454848305711
1/4 a menos de 1/2 salário mínimo (3);3.911848496063195;9.963974783824046;7.561372553219599;6.139013498698523;6.600553277958901;11.599157144300221
1/2 a menos de 1 salário mínimo (3);2.972072447756765;7.800390397808804;5.520412223032681;5.007070209176617;5.6079645693823315;9.396795663220367
1 a menos de 2 salários mínimos (3) ;2.9901570210195323;8.63163644506214;5.3919426119492035;4.8304432170734195;6.603859033254541;8.933911077141719
2 salários mínimos ou mais (3) ;3.759762833190811;9.62139649937787;6.769845123096531;5.755003492269656;9.228611485320036;10.27466643039119
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
(1) inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) inclusive as pessoas com nível de instrução não determinado. (3) ex-;;;;;;
