;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%)
;total;motivo de não terem feito o registro do último roubo na delegacia de polícia;motivo de não terem feito o registro do último roubo na delegacia de polícia.1;motivo de não terem feito o registro do último roubo na delegacia de polícia.2;motivo de não terem feito o registro do último roubo na delegacia de polícia.3;motivo de não terem feito o registro do último roubo na delegacia de polícia.4;motivo de não terem feito o registro do último roubo na delegacia de polícia.5
total (1);0.0;13.960043876363622;11.7670878658011;8.122877072748226;10.418297546327034;9.75182830917588;11.497373638854377
sexo;;;;;;;
homens;0.0;18.61336761594094;17.67733992586085;10.063711110101943;15.555394982618216;11.720493728625586;14.462683282915531
mulheres;0.0;20.37483999072911;15.309639495392414;11.955638381739382;13.79862663786519;15.286853432767114;15.372417557648001
cor ou raça;;;;;;;
branca;0.0;20.479544301589268;19.27343389293302;12.536430302126082;15.432071315701688;14.006243709275038;15.310879045901713
preta ou parda;0.0;18.603925215272977;14.634456759970638;10.697070277234713;13.548942121954108;13.266234185213072;14.839499802181523
preta;0.0;50.77470230492349;40.369047866560685;31.933723168196213;41.49489944768758;41.46240276127148;31.563820431210097
parda;0.0;19.66458001081407;15.24366064143314;10.954123697626434;14.403676516286065;13.624255988557628;13.94085326266224
grupos de idade;;;;;;;
10 a 24 anos;0.0;21.83640618865889;17.703569344075866;13.391190527291025;17.754537689183987;13.368980004076331;17.02767344272886
25 a 34 anos;0.0;31.759087318675277;22.953780134821525;16.975177030638452;20.474424772362184;21.105474608434704;22.24408304843826
35 a 39 anos;0.0;57.3238177147783;43.81971417516279;34.453511431409694;27.757182747284652;35.42648517892747;33.007903140989164
40 a 49 anos;0.0;28.56978407408448;31.557588503584245;19.142463452538596;24.246043829918058;25.406263486713936;26.21477066553194
50 anos ou mais;0.0;35.20540020370256;33.270835600222014;17.17808325354692;30.481930462092865;28.109735154113633;20.601798961746603
classes de rendimento mensal domiciliar per capita;;;;;;;
total (2)(3);0.0;14.05180628665025;11.76674859927713;8.121141136242692;10.464379222987144;9.794936463562909;11.496163071477051
sem rendimento a menos de 1/4 do salário mínimo (2) (4) ;0.0;39.151862640132556;53.76181062987694;31.77701535911633;41.017129258319954;28.4708352235727;34.83798338365317
1/4 a menos de 1/2 salário mínimo (2);0.0;35.45394222009018;30.22024699654179;19.448524193566506;31.995031710571364;24.957658322060052;37.13365283518739
1/2 a menos de 1 salário mínimo (2);0.0;25.962206015603236;23.405859999301164;15.124526741311005;18.820716299669048;18.124342608498143;23.223686071192894
1 a menos de 2 salários mínimos (2) ;0.0;26.945998262483382;22.563159985189095;16.769212050118508;19.532923712690593;19.281534832433668;18.112889540831215
2 salários mínimos ou mais (2) ;0.0;31.39665097565099;20.807629189745448;16.006520410162107;24.26547471767553;19.97814641007981;21.68276654007881
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;;
