;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;1.44;4.73;2.26;3.25;3.26;2.08;3.89;3.85
Situação do domicílio;;;;;;;;
Urbana;1.5;5.29;2.37;3.34;3.34;2.1;3.95;3.87
Rural;9.87;14.39;11.15;16.19;17.7;17.71;24.42;31.68
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;3.76;12.9;5.8;7.25;7.06;4.7;9.74;10.22
Rondônia;10.72;32.45;15.35;25.04;23.71;19.6;26.62;34.91
Acre;12.42;27.35;18.49;31.92;28.85;15.26;42.33;31.5
Amazonas;9.07;34.22;13.09;19.12;21.12;12.28;26.21;34.27
Roraima;16.04;57.74;31.26;26.6;36.4;18.23;100.79;70.63
Pará;4.93;19.24;7.64;9.19;8.69;5.89;13.83;13.31
Amapá;19.19;56.71;28.38;30.95;23.15;22.58;29.63;40.22
Tocantins;14.64;23.54;21.46;41.78;45.8;18.62;32.7;33.19
Nordeste;2.76;6.47;3.85;5.89;5.43;3.62;6.47;6.79
Maranhão;16.9;18.05;19.27;32.33;33.77;16.57;37.03;47.88
Piauí;10.96;61.56;15.38;34.42;30.33;16.87;29.5;31.02
Ceará;3.78;13.65;6.53;9.11;8.11;6.39;11.91;11.05
Rio Grande do Norte;7.72;18.9;16.77;18.63;18.98;12.52;25.41;28.91
Paraíba;11.7;25.38;10.82;23.35;18.79;16.33;35.52;33.05
Pernambuco;4.93;16.63;7.89;9.95;9.48;6.51;12.27;13.1
Alagoas;9.41;24.58;13.51;27.28;23.64;19.81;36.5;32.13
Sergipe;7.33;32.89;11.53;27.11;17.37;13.93;24.73;33.82
Bahia;4.43;12.45;7.28;10.46;8.48;5.97;10.86;11.42
Sudeste;2.42;10.63;4.36;5.73;6.62;3.61;6.49;6.01
Minas Gerais;4.33;21.39;7.99;11.18;12.27;6.98;10.37;11.78
Espírito Santo;8.47;30.53;14.73;21.37;21.18;13.83;28.53;33.38
Rio de Janeiro;4.76;23.8;8.54;10.66;12.39;7.01;11.4;10.4
São Paulo;3.58;15.4;6.69;8.6;9.93;5.14;10.23;8.7
Sul;3.53;16.24;6.13;8.51;9.21;5.85;9.18;9.72
Paraná;5.42;22.36;9.06;12.49;13.74;9.16;16.41;14.19
Santa Catarina;14.81;39.03;25.67;33.35;36.81;23.26;44.52;33.19
Rio Grande do Sul;4.28;29.0;8.1;11.0;12.83;6.94;10.58;12.49
Centro-Oeste;3.96;14.32;5.74;9.15;8.66;6.7;11.7;9.77
Mato Grosso do Sul;13.33;34.97;19.82;26.03;31.74;18.8;36.16;29.65
Mato Grosso;9.45;28.66;16.65;23.39;21.6;15.69;30.53;21.77
Goiás;6.49;19.61;8.45;14.78;14.71;12.22;18.94;14.96
Distrito Federal;6.23;61.1;9.41;15.19;11.94;9.48;16.64;17.22
