;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil;1.44345041627043;3.4435786106495825;3.9233474577583154;1.6065999277869933;4.138466786619394;6.707125690918714
Dinheiro, cartão de débito ou crédito, ou cheque;1.66;4.94;4.6;1.84;4.83;9.94
Telefone celular;1.65;5.57;5.47;1.8;5.07;8.53
Documentos ou objetos pessoais;2.14;5.88;8.14;2.3;7.25;14.43
Carro, motocicleta ou bicicleta;3.29;7.28;12.65;3.56;;22.8
Outro;3.03;5.3;8.3;4.07;14.66;14.01
Norte;3.76;7.09;9.69;3.93;10.53;17.71
Dinheiro, cartão de débito ou crédito, ou cheque;4.04;9.97;12.25;4.4;12.12;25.52
Telefone celular;3.92;9.88;14.21;4.13;13.17;22.7
Documentos ou objetos pessoais;5.38;12.53;21.62;5.51;18.87;27.59
Carro, motocicleta ou bicicleta;7.05;16.28;28.86;7.11;;41.01
Outro;8.86;11.38;24.11;13.79;33.61;34.66
Nordeste;2.76;6.33;6.69;3.01;5.99;10.94
Dinheiro, cartão de débito ou crédito, ou cheque;2.92;9.44;8.3;3.2;6.89;17.33
Telefone celular;2.77;9.22;8.98;2.98;7.01;13.75
Documentos ou objetos pessoais;3.67;10.63;12.92;3.8;11.13;23.94
Carro, motocicleta ou bicicleta;6.57;14.68;24.71;6.79;;32.17
Outro;5.59;9.27;15.64;7.21;23.17;28.23
Sudeste;2.42;6.41;6.96;2.69;7.43;12.39
Dinheiro, cartão de débito ou crédito, ou cheque;2.88;8.59;7.7;3.22;8.64;17.65
Telefone celular;3.03;10.81;9.68;3.33;9.24;15.63
Documentos ou objetos pessoais;3.86;10.75;16.23;4.22;12.11;26.55
Carro, motocicleta ou bicicleta;5.72;11.55;25.32;6.33;;52.8
Outro;5.59;10.75;14.07;7.5;27.26;22.04
Sul;3.53;8.64;7.78;4.18;13.51;17.12
Dinheiro, cartão de débito ou crédito, ou cheque;4.15;12.95;9.99;4.55;15.62;22.11
Telefone celular;4.25;15.76;13.61;4.94;19.28;20.67
Documentos ou objetos pessoais;5.38;14.29;18.34;5.77;25.89;34.25
Carro, motocicleta ou bicicleta;7.92;16.04;26.03;9.81;;48.47
Outro;6.62;12.62;15.39;9.29;51.65;39.93
Centro-Oeste;3.96;9.41;10.58;4.64;14.14;15.52
Dinheiro, cartão de débito ou crédito, ou cheque;4.82;12.0;13.11;5.68;17.23;23.64
Telefone celular;4.76;12.97;15.58;5.62;19.07;23.43
Documentos ou objetos pessoais;5.91;14.72;21.7;6.6;29.46;27.88
Carro, motocicleta ou bicicleta;7.63;16.41;25.5;8.99;;35.55
